Time		Position		Wind		Barometer corrected and reduced to 32° F. MSL and Gravity 45°	Temperature		Cloud			Weather		Sea Surface						Remarks
Day	Hour. 12 hrs. fast on GMT	Lat. S	Long.	Direction (True)	Force (0-12)		Dry Bulb	Wet Bulb	Kind		Amount (0-10)	Beaufort Notation*	Fog Intensity (0-5)	Waves		Swell		Sea Temperature	Colour	
									Upper	Lower										
		°    '	°    '			"Inches
"	° F	° F						Direction from	Disturbance (0-10)	Direction from	Disturbance (0-10)	° F		
"DECEMBER, 1912."																				
	12	51 56	168 2 E	NNW	4-5	29.94	50.2	49.6	A.-St.	St.-Cu.	1/2	b.c.		NW	3	"NW, SW"	4	49.0	381	
	16			NNW	3	29.95	51.5	50.8	A.-St.		1/2	b.c.		NW	1	"SW, NW"	"3, 4"	50.0		Became overcast at 21 h. At midnight very bright phosphorescent
	20	50 58	168 54 E (21.24)	NNW	2	29.96	51.0	50.0			0	b.		NW	1	"SW, NW"	"3, 3"	50.0		"belt of sea, 300 yards ; not breaking into flame on the bow long, but of white, milky appearance."
	24			NNW	3	29.92	50.1	49.0		St.	10	o.c.		NW	1	"SW, NW"	"2, 3"			
8	4			NW	4	29.89	50.0	49.8		"St.-Cu., St."	8	c.d.		NW	3	Wly	3			"Drizzling showers. Belts of white water, not ordinary phosphorous."
	8	49 51	169 45 E (7.52)	NW	4	29.93	50.2	50.0	St.	"St., St.-Cu."	1/2	b.c.		NW	2	Wly	3	51.0		Faint auroral lights.
	12	49 24	169 57 E	NW	4	29.95	52.0	50.8	A.-St.	"Nb., St., St.-Cu."	10	o.c.		NW by W	2	NW	3	51.3	381	
	16			W	4	29.97	52.8	52.3	"Ci. -Cu., A.-St., A.-Cu."	St.-Cu.	3	b.c.		Wly	2	NW	3	51.8		
	20	48 21	170 10 E (20.56)	WNW	4	29.97	52.0	52.0	A.-St.	St.-Cu.	9	b.c.		Wly	2	NW	3	52.0		
	24			NW	4	30.03	52.1	51.8			10	o.c.		WNW	2		3			
9	4			WNW	5	30.04	53.0	53.0		"Cu., Cu.-St."	8	c.f.		W by S	4					
	8	47 41	170 32 E	WNW	3	30.10	54.0	53.8	"Ci. -St., St.-Cu., A. -St."		1/2	b.c.						53.5		
	12	46 42	170 44 E	WNW	2	30.10	55.8	54.0	A.-St.	St.-Cu.	7	b.c.		W	1-2	"S, WSW"	"3, 2"	54.8	377	
	16			NNE	2	30.11	64.0		A.-St.	St.-Cu.	1/2	b.c.		N	1	S	1	56.0		
	20			NNE	4	30.07	61.0		"A.-St., Ci. -St."	St.-Cu.	3	b.c.		N		S	1	55.0		
	24			NNE	3	30.00	60.8				10	o.c.		N	2	SE	2			
10	4	3h.	Off Oamaru	NNW	2	29.93	60.0			"St.-Cu., St."	10	o.c.		NW	2	SE	4			3 h. : Put clocks back half hour to lli hours fast on G.M.T.
	8			NNE	1	29.93	61.5			St.	10	o.c.		Calm	0	N Confused	3	59.0		
	12	44 49	171 51 E	ESE	1-2	29.89	61.0			St.	10	o.c.		E	1	"S, W"	"3,2"	59.8		
	16			ESE	1	29.82	60.8		A.-St.	St.	10	o.c.		E	1	"E, W"	4	61.0		
	20	22h. Off	Akaroa Light	ENE	1	29.80	60.2			St.	10	o.c.				E Confused	3	61.0		
	24			Light Airs	0-1	29.79	59.1			St.	7	o.c.								
11	4			ESE	2	29.73	60.0		A.-Cu.	"Cu., St.-Cu."	8	c.		E	1	Confused	3			
	8			ENE	1	29.69	63.0		A.-St.	Cu.	1	b.c.				"SW, NE"	"2, 1"	60.0		
	12	Off	Akaroa	ESE	1-2	29.58	64.6		A.-St.		1	b.c.				"E, W"	"1, 2"	61.0	378	
	16	18.30h.	Proceeded for Lyttelton	ENE	1-2	29.14	71.2		"Ci. -St., A.-St."		7	b.c.		NE	1	NE Confused	2	62.3		
	20			WNW	2-3	29.36	67.0		St.		1/2	b.c.		W	2	Confused	2-3	60.0		
	24			WNW	3-4	29.43	69.0				0	b.			2		2			
12	4			W	3	29.43	65.0				0	b.		WSW	2					8 h. : At Lyttelton.
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
