Time		Position		Wind		Barometer corrected and reduced to 32° F. MSL and Gravity 45°	Temperature		Cloud			Weather		Sea Surface						Remarks
Day	Hour. 12 hrs. fast on GMT	Lat. S	Long.	Direction (True)	Force (0-12)		Dry Bulb	Wet Bulb	Kind		Amount (0-10)	Beaufort Notation*	Fog Intensity (0-5)	Waves		Swell		Sea Temperature	Colour	
									Upper	Lower										
		°    '	°    '			"Inches
"	° F	° F						Direction from	Disturbance (0-10)	Direction from	Disturbance (0-10)	° F		
"DECEMBER, 1911."																				
	16			W	6-7	28.85	39.5		A.-Cu.	"Cu., St.-Cu."	9	c.q.		SWly	7	SW	8	41.4		"of light towards zenith ; below dark or cloud, impossible to say which. Light, greenish white. Rain, moderate, accompanying"
	20			W	8	28.80	39.0			"St.-Cu., Nb."	10	c.r.q.		WSW	7	WSW	8			"squalls. Forenoon : Passing squalls very heavy, 8-9 in force. Sleet and hail accompanying squalls. Dogs : Squalls frequent"
	24			W	8-10	28.72	39.6			"St.-Cu., Nb."	10	o.q.p.								and heavy with moderate rain. First : Squalls frequent and heavy with moderate rain.
24	4			WSW	8-10	28.71	40.0					c.q.r.		WSW	7	SW	8	43.0		
	8			W	8	28.70	40.4		A.-Cu.	"Cu., SL -Cu."	7	c.q.		WSW	7	WSW	S	44.2		"0-3 h. : Squalls not heavy, slight rain only. 3.30 : Very heavy squalls lasting 15 minutes, force 10. Morning : Few squalls but very heavy, force 10, accompanied by hail. Forenoon : Several waves over 30 feet in height. Squalls with hail and"
	12	55 51	165 49 E	W	8-9	28.65	41.0		"Ci., Ci.-Cu., A.-Cu."	"Cu., St.-Cu."	6	b.c.q.		WSW	8	WSW	S		404	"sleet. Afternoon : Squalls frequent, force 10 ; with hail changing to snow and sleet. 14 h. : Wind backed to SW and W."
	16			WSW	8-10	28.65				"Cu., St.-Cu."	8	c.q.2hs.		SW	8	SW	8	45.2 (16.30)		"17. h. : Wind backed in a squall to SW by S. Dogs : Heavy squalls, force 10, with hail, sleet and snow. First :"
	20			SW	8-10	28.68	37.2		A.-Cu.	"Ci., St.-Cu."	6	b.c.q.s.		SSW	8	SSW	8			Wind increasing both in squalls and in intervals between. Squalls becoming more frequent towards end of watch and
	24			SW	9-11					"St.-Cu., Nb."	6	c.q. 								"wind of force 11 in them, with a little hail and snow. Sky clearing between squalls."
25	4			SW	9-11	29.01	37.0			"Cu.,St.-Cu., Nb"	7	c.q.h.		SSW	9	SSW	8			2.30 : Squalls of hurrican force. 3 to 4: Wind easing slightly squalls not so fierce. Morning : Wind squalls easing. Forenoon
	8			WSW	9	29.17	38.1		"A.-Cu., Ci.-Cu."	"Cu., St.-Cu., Nb."	7	c.q.h.		SW	8	SW	9			Height of waves measured 50 feet. Wind started easing down down at 11 h. and squalls not so frequent or violent as in early
	12	54 3	167 18 E	WSW	8	29.31	39.6		A.-Cu.	"Cu., St.-Cu."	6	c.q.h.		SW	9	SW	9-10	46.0	405	"part of watch, when the wind in squalls was force 9-10. Squalls accompanied by hail or sleet."
	16			SSW	8-9	29.36	40.2			"Cu., St.-Cu."	10	c.q.h.		SW	9	SW	9	46.8		
	20			SW	7	29.49	41.4			"Cu., St.-Cu."	9	c.q.h.		SW	9	SW	9			Dogs : Few squalls up to force 9. First : A few passing showers lasting about five minutes.
	24			WSW	6-9	29.52	43.0			"St.-Cu., Nb."	10	o.q.p.		SW	7	SW	S			
26	4			SW	6	29.62	42.2			"Cu., St.-Cu., St."	10	o.c.		SSW	6	SW	7			No squalls or rain after 1 h. 30 in.
	8			SW	5	29.72	42.8			"Cu., St.-Cu."	10	o.c.		SSW	5	SW	7	48.1		
	12	52 21	167 35 E	SSW	4	29.75	43.6			St.-Cu.	10	o.c.		S by W	4	S by W	6	48.0	405	
	16			SSW	2	29.77	44.2			"St., St.-Cu."	10	o.c.		SW	4	SWly	7	48.1		
	20			Var.	0-1	29.79	43.6			St.-Cu.	10	o.c.					6			"First : Calm till 23.15, then light northerly airs."
	24			NNE	0-2	29.8	43.9			St.-Cu.	10	o.c.								
27	4			NNE	1	29.79	43.8			"Cu., St.-Cu., St."	7	c.				SWly	4			
	8			ESE	1	29.78	44.4			"Cu., St.-Cu."	9	c.				Sly	5	48.1		
	12	52 16	167 31 E	ESE	1	29.78	47.1			"Cu., St.-Cu."	9	c.				Sly	5		429	"17 h. : Fine rain falling till remainder of watch. 17.30 : Wind fell calm. 19.45 : Breeze sprang up from NV, force 2."
	16			ENE	3	29.78	47.2			"Cu., St.-Cu."	10	o.c.				Sly	5	48.2		
	20			WNW	1-2	29.77	45.1			"Cu.,St.-Cu., Nb."	9	o.c.3r.				Sly	5			23 h. : Wind fell calm.
	24			Calm	0	29.77	44.6			"St.-Cu., Nb."	6	c.p.								Midnight : Occasional showers of slight rain during watch.
28	4			NNW	1	29.76	45.0			St.	7	c.								0.15 : Light NNW breeze sprang up.
	8			WNW	1-2	29.75	46.2		"Ci., Ci. -Cu., A."	"Cu., St.-Cu."	3	c.			1	Sly	4	48.3		
	12	51 54	167 42 E	WNW	3	29.76	47.9		"A.-St., A. -Cu."	"Cu., St.-Cu."	9	c.			2	Sly	4	48.2	429	
	16			WNW	3	29.75				"Cu., St.-Cu."	10				2	Sly	4			"18 h. : Clouds St.-Cu., A.-Cu., Ci. and Cu."
	20			WNW	4	29.79	47.8		A.-Cu.	"Cu., St.-Cu."	7	c.			2	Wly	4	48.0		
	24			WNW	4-5	29.81	48.2		"Ci.-St., A. -St."	St.-Cu.	6	c.								23 It.: Corona and faint 22 1/2° halo round moon.
29	4			WNW	5	29.83	49.0			"St.-Cu., St."	9	o.c.		W by S	4					
	8			WSW	5	29.86	49.2			"Cu., St.-Cu."	10	c.		WSW	4	WSW	4	48.6		
	12	50 71	169 11 E	WNW	5-6	29.90	50.0			"Cu., St.-Cu."	10	c.		W by S	4	W by S	4	49.2	429	Afternoon and Dogs : Occasional showers.
	16			W	6	29.90	50.0			"Cu., Cu.-St."	8	c.		W	5	SW	4			
	20			W	6	29.92	50.1			"Cu.,St.-Cu., Nb."		c.p.		WSW	5	WSW	5			First : Aurora prevailing behind clouds
	24			W	6-8	29.97	51.4			"Nb., Cu., St.-Cu."	9	c.p.		WSW	6	WSW	7			
30	4			W	7-8	30.01	50.0			"St.-Cu., St."	10	o.c.q.d.		WSW	6	WSW	7			"0-2 h. : Passing heavy clouds and light squalls. 2.30 : Light drizzle commenced, wind steadied. 8.15 : Sky clearing rapidly."
	8			W	6-7	30.09	50.9		"A-Cu.,"	"Cu., St.-Cu."	7	c.p.		WSW	6	WSW	7	51.0		Forenoon : A few passing showers of light rain.
	12	47 4	171 33 E	W	6	30.17	52.0		"A.-Cu., A.-St."	"Cu., St.-Cu."	6	b.c.		WSW	6	WSW	6	51.5	429	
	16			SSW	6	30.25	51.5			St.	2	c.								17 h. : Wind dropping and veering.
	20					30.28	51.8		A.-St.	"St., St.-Cu."	2	b.c.						52.5		
	24			WSW	2-3	30.31	52.8			"St.-Cu., Nb."	9	c.p.d.		SW	3	SW	6			
31	4			Calm	0	30.32	51.8			"Cu., St.-Cu."	9	c.u.				SW	3			
	8			NE	2	30.34				"Cu., St.-Cu."					2	S by E	4	52.9		
	12	44 56	172 53 E	ENE	2	30.34	59.0		A.-St.	St.	1	b.			2	SW	6-7	53.6	377	
	16			ENE	4	30.27	54.5		Ci.-Cu.	"Cu., St.-Cu."	3	b.c.			2	SW	5			
	20			ENE	5	30.26	55.4		"A.-St., Ci.-Cu., A.-Cu."	"St., St.-Cu."	3	b.c.				Nly	4	54.9		
	24			NE	7	30.24	56.0		"A.-Cu., A.-St."	"Cu., St.-Cu."	5	b.c.				SSW	5			
"APRIL, 1912."																				
1	12	43 56	173 1 E	WSW	5	30.19	57.5				10	b.c.f.	4						352	First : 21.40 : Fog lifted. Air damp. 22 h. : Breeze sprang up.
	24			SSW	3-4	30.28	53.6			"Nb., St.-Cu., Cu."	10	f.c.	2							
2	4	43 49	173 16 E (12 h.)	SSW	2	30.27	54.8			St.	8	o.		Sly	2	Sly	3			
	24			NNE		30.31	56.0			"St., St.-Cu."	9	o.m.	2							
3	4			Var.	1	30.28	56.8			"Cu., St.-Cu."	8	o.								Reached Lyttelton.
