	VOYAGE AUTOUR DU MONDE FAIT PAR ORDRE DU ROI					
	"M LOUIS DE FREYCINET, CAPT."					

Pg. 66		RIO DE JANEIRO				

YEAR	MONTH	DAY	HOUR	TEMP	BAR	ATT.TEMP
1818	1	18	308	29.92	763.070	30.00
			356	29.87	763.070	30.35
			440	29.92	763.000	30.20
			527	29.70	763.930	30.00
			612	29.21	762.150	19.75
			644	29.37	761.620	29.75
		19	618	29.82	762.400	30.25
			703	29.85	762.270	30.10
			755	30.35	761.800	30.45
			738	30.20	761.350	30.30
			919	30.37	760.860	30.55
			1001	29.92	760.390	30.30
			1030	29.65	760.150	29.75
			1101	28.72	760.620	29.15
		20	324	28.22	762.570	29.65
			405	27.77	762.500	30.10
			447	27.90	762.500	29.65
			528	26.95	762.370	27.95
			609	27.67	762.270	27.80
			650	26.92	761.900	27.40
			732	26.87	761.500	27.40
			813	26.47	762.500	26.85
			854	26.70	763.070	26.45
		21	307	26.55	764.950	26.80
			349	26.55	764.950	27.05
			430	26.55	764.800	27.10
			511	26.60	764.470	27.25
			552	26.72	764.050	27.40
			633	26.80	763.950	27.60
			715	26.67	763.770	27.40
			756	26.70	763.350	27.20
			837	26.65	763.350	27.00
			920	26.57	763.020	26.20
			1002	26.20	763.450	26.00
			1042	26.15	763.970	25.90
1820	8	8	218	20.50	770.225	21.95
			300	20.50	769.850	22.00
			341	20.90	769.400	22.20
			423	20.75	769.075	22.20
			405	20.70	769.250	22.60
			547	20.55	769.400	22.80
			710	20.20	769.575	22.00
		9	155	20.27	771.375	20.90
			237	20.42	771.262	21.90
			319	20.57	770.950	22.10
			401	20.80	770.400	22.40
			442	20.93	769.950	22.45
			524	21.05	769.550	22.65
			606	21.25	769.400	22.90
			648	21.77	768.750	22.90
			729	21.55	768.275	23.00
			811	21.55	768.175	22.90
			753	21.43	768.162	23.20
			935	21.30	768.125	23.10
			1016	21.18	768.125	22.75
		10	1023	20.30	767.725	21.05
			1104	20.47	767.825	21.60
			1145	20.66	767.862	21.95
			1227	20.90	767.700	22.40
			1308	21.17	767.365	22.45
			1349	21.58	766.875	23.40
			1430	21.85	766.525	23.25
			1511	22.20	766.312	23.45
			1553	22.28	766.225	23.35
			1634	22.18	766.162	23.35
			1715	22.15	766.162	23.40
			1756	21.93	766.287	23.50
			1837	21.70	766.350	23.35
			1919	21.53	766.075	22.95
		11	100	20.20	769.175	21.90
			141	20.50	769.400	21.95
			222	20.82	769.575	22.05
			304	21.13	769.725	22.35
			345	21.30	769.500	22.65
			426	21.30	769.225	22.90
			507	21.35	768.675	23.05
			549	21.37	768.125	23.15
			630	21.83	767.700	23.40
			711	21.70	767.325	23.50
			752	21.55	767.300	23.45
			833	21.40	767.275	23.10
			915	21.10	767.650	22.95
			956	20.90	767.825	22.80
		12	131	20.75	768.550	22.05
			212	20.92	768.575	22.25
			254	21.08	768.350	22.35
			336	21.25	768.050	22.45
			418	21.40	767.400	22.65
			459	21.45	766.800	22.90
			541	21.55	766.400	23.00
			623	22.07	766.050	23.15
			704	21.98	765.925	23.45
			746	21.72	765.600	23.65
			828	21.65	765.500	23.85
			909	21.68	765.287	23.75
			951	21.57	765.300	23.35
		13	106	20.80	763.950	22.15
			148	22.00	763.975	22.30
			229	21.40	763.850	22.55
			311	21.57	763.450	22.80
			353	21.80	763.125	22.90
			434	22.18	762.650	23.00
			516	22.37	762.100	23.40
			558	22.85	761.700	23.80
			639	23.38	761.400	24.00
			721	23.22	761.300	24.05
			703	23.18	761.375	24.30
			744	23.12	761.325	23.65
			926	23.15	761.437	24.45
		14	1101	21.60	761.900	22.40
			1142	21.61	762.150	22.80
			1223	22.02	762.187	23.15
			1303	22.23	761.727	23.45
			1344	22.50	761.250	23.65
			1424	22.93	760.575	23.95
			1505	23.20	760.375	24.15
			1546	23.32	760.475	24.40
			1626	23.80	760.400	24.45
			1707	23.23	760.500	23.95
			1748	22.87	760.775	23.80
			1828	22.58	761.125	23.75
			909	22.40	760.925	23.60
		18	721	18.75	771.075	20.30
			802	18.92	770.825	20.65
			842	19.13	770.725	20.90
			923	19.10	770.050	21.00
			1003	19.70	769.800	21.35
			1044	20.15	769.400	21.55
			1125	21.03	769.075	21.80
			1205	20.95	768.825	21.90
			1246	20.45	768.900	22.15
			1327	20.40	768.975	22.35
			1407	20.25	768.912	22.20

Pg. 70		CAP DE BONNE-ESPERANCE				

1818	3	19	142	21.98	768.770	22.30
			224	22.00	768.250	22.50
			305	22.00	768.130	22.90
			345	22.00	768.000	22.90
			429	22.10	767.770	23.00
			510	22.33	767.820	22.95
			551	22.40	767.950	23.15
		20	32	21.65	769.070	23.00
			108	21.85	768.770	23.00
			149	22.20	768.550	23.25
			243	22.45	768.320	23.35
			324	22.50	767.920	23.35
			405	22.57	767.870	23.40
			511	22.47	767.350	23.35
		21	22	22.27	767.250	23.60
			109	22.55	767.170	23.80
			200	22.75	766.750	23.90
			244	23.10	766.520	24.00
			326	23.10	766.200	23.95
			408	23.17	765.600	24.00
			450	23.32	765.220	23.95
			616	23.40	764.850	23.80
			628	23.45	764.800	23.80
		22	11	22.25	760.700	23.60
			23	22.55	760.770	23.50
			104	22.55	760.820	23.65
			145	22.80	760.550	23.70
			227	22.85	760.250	23.75
			309	22.85	760.120	23.95
			350	23.10	759.900	24.15
			431	23.22	760.250	24.05
			512	23.22	760.320	24.00
			607	23.30	760.450	24.10
		25	19	22.20	765.270	22.75
			101	22.22	765.200	22.85
			142	22.35	765.350	22.85
			224	22.35	765.350	22.70
			306	22.45	765.370	22.85
