	VOYAGE AUTOUR DU MONDE FAIT PAR ORDRE DU ROI						
	"M LOUIS DE FREYCINET, CAPT."						

Pg. 216		PORT LOUIS (I'LLE DE FRANCE)					BAR. NO. 2

YEAR	MONTH	DAY	HOUR			BAR	
1818	6	13	800			763.69	
			900			763.72	
			1000			764.06	
			1100			763.84	
			1200			763.52	
			1300			762.96	
			1400			762.76	
			1500			762.62	
			1600			762.52	
			1700			762.88	
			1800			762.94	
			1900			763.39	
			2000			763.19	
			2100			763.40	
			2200			764.28	
			2300			764.26	
			2400			764.38	
		14	100			763.51	
			200			763.75	
			300			762.88	
			400			762.88	
			500			763.51	
			600			764.08	
			700			764.35	
			800			764.28	
			900			764.96	
			1000			764.92	
			1100			764.94	
			1200			764.48	
			1300			763.58	
			1400			762.84	
			1500			762.89	
			1600			762.91	
			1700			763.03	
			1800			763.14	
			1900			763.16	
			2000			763.11	
			2100			763.16	
			2200			763.31	
			2300			763.14	
			2400			762.96	763.57
		15	100			762.71	
			200			762.62	
			300			762.54	
			400			762.52	
			500			762.52	
			600			762.29	
			700			763.10	
			800			763.31	
			900			763.31	
			1000			763.53	
			1100			763.20	
			1200			762.69	
			1300			762.46	
			1400			762.05	
			1500			761.70	
			1600			761.68	
			1700			761.61	
			1800			761.79	
			1900			762.03	
			2000			762.73	
			2100			762.54	
			2200			763.42	
			2300			763.84	
			2400			762.99	762.63
		16	100			762.85	
			200			762.59	
			300			762.71	
			400			761.92	
			500			761.55	
			600			762.24	
			700			762.75	
			800			762.84	
			900			762.79	
			1000			763.03	
			1100			763.18	
			1200			763.14	
			1300			762.19	
			1400			761.92	
			1500			761.95	
			1600			762.16	
			1700			762.21	
			1800			762.30	
			1900			763.08	
			2000			763.52	
			2100			763.47	
			2200			763.41	
			2300			763.35	
			2400			763.10	762.68
		17	100			763.22	
			200			762.72	
			300			762.43	
			400			762.69	
			500			763.10	
			600			763.24	
			700			763.75	
			800				
			900				
			1000				
			1100			764.07	
			1200			763.91	
			1300			763.71	
			1400			763.84	
			1500			763.72	
			1600			763.72	
			1700			763.62	
			1800				
			1900				
			2000				
			2100			765.61	
			2200			765.40	
			2300			765.22	
			2400			765.32	763.85
		18	100			765.27	
			200			765.24	
			300			765.14	
			400			765.11	
			500			765.20	
			600			765.54	
			700			765.83	
			800			766.17	
			900			766.74	
			1000			766.93	
			1100			766.81	
			1200			765.77	
