,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vessel and Vessel Movements,,,,,,,,,Wind,,,,,Current,,Data Characteristics,,,,
Start Date,Time of reading,Image Numbers,Document Title,Vessel,Ship Type,Owner of Port of Registry,Vessel Movements,Latitude ,Longitude ,Barometer,Air Temperature,Water Temperature,Direction,Force,Course,Distance,Distance by Log,Direction,Drift,Meteorology,Oceanography,Confirmed Sea Ice Observations,Other data,Notes
09/05/1947,Noon,1983_011_0003_0028,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.37S,85W,,,,,,270,63.4,32,E.S.E.,31.4,,,,,
09/05/1947,19:00,1983_011_0003_0028,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021,74,75.5,S.E.,4,,,,,,,,,,
10/05/1947,07:00,1983_011_0003_0030,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,73.5,76,E.S.E. ,3,,,,,,,,,,
10/05/1947,Noon,1983_011_0003_0030,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.41S,85.31W,,,,,,270,31.2,28,S.E.,3.2,,,,,
10/05/1947,19:00,1983_011_0003_0030,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,74.5,76,E.S.E. ,3,,,,,,,,,,
11/05/1947,07:00,1983_011_0003_0032,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.5,75,75.5,S.E.,3,,,,,,,,,,
11/05/1947,Noon,1983_011_0003_0032,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.51S,86.05W,,,,,,270,35.7,28,S.E.,7.4,,,,,
11/05/1947,19:00,1983_011_0003_0032,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,75,76,S.E.,3,,,,,,,,,,
12/05/1947,07:00,1983_011_0003_0034,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,75,76.8,S.E.,2,,,,,,,,,,
12/05/1947,Noon,1983_011_0003_0034,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.41S,86.26W,,,,,,270,23.2,20,S.S.E.,3.2,,,,,
