,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vessel and Vessel Movements,,,,,,,,,Wind,,,,,Current,,Data Characteristics,,,,
Start Date,Time of reading,Image Numbers,Document Title,Vessel,Ship Type,Owner of Port of Registry,Vessel Movements,Latitude ,Longitude ,Barometer,Air Temperature,Water Temperature,Direction,Force,Course,Distance,Distance by Log,Direction,Drift,Meteorology,Oceanography,Confirmed Sea Ice Observations,Other data,Notes
11/06/1947,05:00,1983_011_0003_0094,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.2,77,78.3,S.E.,3,,,,,,,,,,
11/06/1947,Noon,1983_011_0003_0094,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.20S,107.58W,,,,,,260,55,38,E.,13,,,,,
11/06/1947,17:00,1983_011_0003_0094,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.9,78.2,78.8,E.S.E. ,3,,,,,,,,,,
12/06/1947,05:00,1983_011_0003_0096,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024.1,76.8,77.9,E.S.E. ,3,,,,,,,,,,
12/06/1947,Noon,1983_011_0003_0096,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.41S,108.30W,,,,,,240,38.2,36.2,,,,,,,
12/06/1947,17:00,1983_011_0003_0096,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.6,79,78.1,E.S.E. ,3,,,,,,,,,,
13/06/1947,05:00,1983_011_0003_0098,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,77.8,77.8,E.S.E. ,3,,,,,,,,,,
13/06/1947,Noon,1983_011_0003_0098,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.50S,109.19W,,,,,,240,49.8,39.8,E.,10,,,,,
13/06/1947,17:00,1983_011_0003_0098,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.8,78.8,79.1,E.S.E. ,4,,,,,,,,,,
14/06/1947,05:00,1983_011_0003_0100,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.1,77,79,E.S.E. ,4,,,,,,,,,,
14/06/1947,Noon,1983_011_0003_0100,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.58S,110.22W,,,,,,240,63.6,44.6,S.S.E.,20,,,,,
14/06/1947,17:00,1983_011_0003_0100,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,79.2,79.1,E.S.E. ,4,,,,,,,,,,
15/06/1947,05:00,1983_011_0003_0102,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.8,75.8,79,E.S.E. ,4,,,,,,,,,,
15/06/1947,Noon,1983_011_0003_0102,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.4S,111.31W,,,,,,240,69.2,49.2,S.E.,18,,,,,
15/06/1947,17:00,1983_011_0003_0102,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.4,79,79.9,E.S.E. ,4,,,,,,,,,,
16/06/1947,05:00,1983_011_0003_0104,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.7,76.8,79.1,E.S.E. ,4,,,,,,,,,,
16/06/1947,Noon,1983_011_0003_0104,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.20S,112.25W,,,,,,240,56.3,46.3,S.E.,17,,,,,
16/06/1947,17:00,1983_011_0003_0104,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.3,79.1,79.5,E.S.E. ,4,,,,,,,,,,
17/06/1947,05:00,1983_011_0003_0106,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024.1,77.9,79,S.E. ,3,,,,,,,,,,
17/06/1947,Noon,1983_011_0003_0106,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.29S,113.21W,,,,,,240,56.8,14.8,E.S.E. ,10,,,,,
17/06/1947,17:00,1983_011_0003_0106,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.6,79,79.3,E.S.E. ,2,,,,,,,,,,
18/06/1947,05:00,1983_011_0003_0108,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.6,77,79,E.S.E. ,3,,,,,,,,,,
18/06/1947,Noon,1983_011_0003_0108,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.29S,114.4W,,,,,,250,43,33,S.E.,10,,,,,
18/06/1947,17:00,1983_011_0003_0108,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.8,78.7,79.1,E.S.E. ,3,,,,,,,,,,
19/06/1947,05:00,1983_011_0003_0110,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.1,77,79.1,E.S.E. ,3,,,,,,,,,,
19/06/1947,Noon,1983_011_0003_0110,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.25S,114.53W,,,,,,250,49,35,E.S.E. ,12,,,,,
19/06/1947,17:00,1983_011_0003_0110,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.2,80.8,79.8,E.S.E. ,3,,,,,,,,,,
20/06/1947,05:00,1983_011_0003_0112,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024,76.7,79.1,E.S.E. ,3,,,,,,,,,,
20/06/1947,Noon,1983_011_0003_0112,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.33S,115.34W,,,,,,240,41.8,33.8,E.S.E. ,8,,,,,
20/06/1947,17:00,1983_011_0003_0112,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.4,79.3,79.6,S.E. ,3,,,,,,,,,,
21/06/1947,05:00,1983_011_0003_0114,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024.8,77.8,79,E.S.E. ,3,,,,,,,,,,
21/06/1947,Noon,1983_011_0003_0114,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.40S,116.34W,,,,,,240,60.4,41.4,S.E.,15,,,,,
21/06/1947,17:00,1983_011_0003_0114,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.9,79.8,79,E.S.E. ,4,,,,,,,,,,
22/06/1947,06:00,1983_011_0003_0116,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024.5,77.1,79,E.S.E. ,4,,,,,,,,,,
22/06/1947,Noon,1983_011_0003_0116,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.5S,117.26W,,,,,,235,57.6,50,E.,6,,,,,
22/06/1947,18:00,1983_011_0003_0116,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.7,78.6,79.2,S.E. ,3,,,,,,,,,,
23/06/1947,05:00,1983_011_0003_0118,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.4,76.1,77.9,E.S.E. ,2,,,,,,,,,,
23/06/1947,Noon,1983_011_0003_0118,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.19S,118.6W,,,,,,245,42.4,37,E.,5,,,,,
23/06/1947,17:00,1983_011_0003_0118,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.4,79,79.9,E.S.E. ,3,,,,,,,,,,
24/06/1947,05:00,1983_011_0003_0120,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,75.5,79,E.S.E. ,3,,,,,,,,,,
24/06/1947,Noon,1983_011_0003_0120,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.22S,118.51W,,,,,,245,45,32,S.E.,20,,,,,
24/06/1947,17:00,1983_011_0003_0120,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,78.2,79.4,S.E. ,4,,,,,,,,,,
25/06/1947,05:00,1983_011_0003_0122,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.6,77.8,79.2,S.S.E. ,4,,,,,,,,,,
25/06/1947,Noon,1983_011_0003_0122,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.23S,119.42W,,,,,,240,51,36,S.E.,15,,,,,
25/06/1947,17:00,1983_011_0003_0122,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.1,78.2,79.3,S.S.E. ,4,,,,,,,,,,
26/06/1947,05:00,1983_011_0003_0124,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,76.8,79.2,S.E. ,3,,,,,,,,,,
26/06/1947,Noon,1983_011_0003_0124,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.31S,120.37W,,,,,,240,55.5,43,S.E.,14,,,,,
26/06/1947,17:00,1983_011_0003_0124,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.9,79.5,79.6,S.E. ,4,,,,,,,,,,
27/06/1947,05:00,1983_011_0003_0126,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,77,79,E.,4,,,,,,,,,,
27/06/1947,Noon,1983_011_0003_0126,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,8.49S,121.20W,,,,,,240,46.6,42,E.,4,,,,,
27/06/1947,17:00,1983_011_0003_0126,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1020.9,79.8,79.4,E.,3,,,,,,,,,,
28/06/1947,05:00,1983_011_0003_0128,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.4,77.2,78.8,E.,4,,,,,,,,,,
28/06/1947,Noon,1983_011_0003_0128,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,9.12S,121.45W,,,,,,210,34,28,E.,6,,,,,
28/06/1947,17:00,1983_011_0003_0128,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.6,79.2,79.1,E.,3,,,,,,,,,,
29/06/1947,04:00,1983_011_0003_0130,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,77.2,78.8,E.,3,,,,,,,,,,
28/06/1947,Noon,1983_011_0003_0130,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,9.35S,122.2W,,,,,,215,28.6,,,,,,,,
29/06/1947,16:00,1983_011_0003_0130,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,79.7,78.9,E.,3,,,,,,,,,,
30/06/1947,04:00,1983_011_0003_0132,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,77.6,78.2,E.S.E. ,3,,,,,,,,,,
30/06/1947,Noon,1983_011_0003_0132,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,9.45S,122.38W,,,,,,230,37.4,,,,,,,,
30/06/1947,16:00,1983_011_0003_0132,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.3,78.8,78.8,E.,3,,,,,,,,,,
01/07/1947,04:00,1983_011_0003_0134,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.8,77,78.4,,,,,,,,,,,,
01/07/1947,Noon,1983_011_0003_0134,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,10.7S,123.6W,,,,,,210,35.6,25,E.,10,,,,,
01/07/1947,16:00,1983_011_0003_0134,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.4,80.3,79.1,E.N.E. ,3,,,,,,,,,,
02/07/1947,04:00,1983_011_0003_0136,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.7,77.8,79,E.,3,,,,,,,,,,
02/07/1947,Noon,1983_011_0003_0136,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,10.25S,123.36W,,,,,,225,35.4,28,E.,6,,,,,
02/07/1947,16:00,1983_011_0003_0136,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024.4,79,79,E.,3,,,,,,,,,,
03/07/1947,04:00,1983_011_0003_0138,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.9,77,78.8,E.,4,,,,,,,,,,
03/07/1947,Noon,1983_011_0003_0138,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,10.44S,124.31W,,,,,,235,58.2,48,E.,10,,,,,
03/07/1947,16:00,1983_011_0003_0138,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.6,79.2,79.1,E.S.E. ,4,,,,,,,,,,
04/07/1947,04:00,1983_011_0003_0140,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024,77.1,78.9,E.,4,,,,,,,,,,
04/07/1947,Noon,1983_011_0003_0140,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,11.6S,125.18W,,,,,,235,51.8,42,E.S.E. ,8,,,,,
04/07/1947,16:00,1983_011_0003_0140,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.4,73.7,78.8,S.E. ,6,,,,,,,,,,
05/07/1947,04:00,1983_011_0003_0142,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.4,77.2,78.8,E.S.E. ,5,,,,,,,,,,
05/07/1947,Noon,1983_011_0003_0142,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,11.15S,125.57W,,,,,,235,40.0,30,E.,10,,,,,
05/07/1947,16:00,1983_011_0003_0142,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,77,79.3,E.S.E. ,4,,,,,,,,,,
06/07/1947,04:00,1983_011_0003_0144,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.2,74.5,78.8,S.E. ,5,,,,,,,,,,
06/07/1947,Noon,1983_011_0003_0144,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,11.33S,126.44W,,,,,,240,50.4,42,S.E. ,7,,,,,
06/07/1947,16:00,1983_011_0003_0144,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.2,77.2,79.8,E.S.E. ,5,,,,,,,,,,
07/07/1947,04:00,1983_011_0003_0146,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.2,76,79.2,S.E. ,4,,,,,,,,,,
07/07/1947,Noon,1983_011_0003_0146,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,11.44S,127.14W,,,,,,235,32.2,28,S.E. ,4,,,,,
07/07/1947,16:00,1983_011_0003_0146,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.4,79.1,80.5,S.E. ,4,,,,,,,,,,
08/07/1947,04:00,1983_011_0003_0148,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.6,77.2,79.1,E.,4,,,,,,,,,,
08/07/1947,Noon,1983_011_0003_0148,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,11.47S,127.58W,,,,,,270,44.0,34,,,,,,,
08/07/1947,16:00,1983_011_0003_0148,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021,79.8,79.8,E.,3,,,,,,,,,,
09/07/1947,04:00,1983_011_0003_0150,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.1,78.2,79.5,N.E. ,4,,,,,,,,,,
09/07/1947,Noon,1983_011_0003_0150,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,12.15S,128.27W,,,,,,210,40.3,32.3,E.,8,,,,,
09/07/1947,16:00,1983_011_0003_0150,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1020.1,80.7,79.7,N.E. ,3,,,,,,,,,,
10/07/1947,04:00,1983_011_0003_0152,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,75.8,79.1,0,0,,,,,,,,,,
10/07/1947,Noon,1983_011_0003_0152,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,12.23S,128.37W,,,,,,210,12.8,9,E.,5,,,,,
10/07/1947,16:00,1983_011_0003_0152,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,79.2,79.8,N.E. ,1,,,,,,,,,,
11/07/1947,04:00,1983_011_0003_0154,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.7,77.9,79.8,N.E. ,2,,,,,,,,,,
11/07/1947,Noon,1983_011_0003_0154,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,12.22S,128.46W,,,,,,280,9.0,5,E.,4,,,,,
11/07/1947,16:00,1983_011_0003_0154,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,78.8,80,N.E. ,1,,,,,,,,,,
12/07/1947,04:00,1983_011_0003_0156,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.2,77.8,79.2,E.N.E. ,2,,,,,,,,,,
12/07/1947,Noon,1983_011_0003_0156,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,12.22S,129.17W,,,,,,280,31.0,31,,,,,,,
12/07/1947,16:00,1983_011_0003_0156,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,79.1,79.9,E.N.E. ,3,,,,,,,,,,
13/07/1947,04:00,1983_011_0003_0158,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.4,77.2,79.2,E.S.E. ,2,,,,,,,,,,
13/07/1947,Noon,1983_011_0003_0158,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,12.5S,129.52W,,,,,,280,38.9,38.9,,,,,,,
13/07/1947,16:00,1983_011_0003_0158,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,79.1,79.6,N.E. ,3,,,,,,,,,,
14/07/1947,04:00,1983_011_0003_0160,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.1,76.1,79.6,N.E. ,3,,,,,,,,,,
14/07/1947,Noon,1983_011_0003_0160,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,11.54S,130.16W,,,,,,270,26.4,26.4,,,,,,,
14/07/1947,16:00,1983_011_0003_0160,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,78.6,80.3,N.E. ,1,,,,,,,,,,
15/07/1947,04:00,1983_011_0003_0162,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.3,79,79.8,E. N.E. ,2,,,,,,,,,,
15/07/1947,Noon,1983_011_0003_0162,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,12.13S,130.39W,,,,,,210,29.8,25.8,E.,4,,,,,
15/07/1947,16:00,1983_011_0003_0162,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,,,,,,,,,,,,,,,
16/07/1947,04:00,1983_011_0003_0164,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.7,77.6,79.7,E.,2,,,,,,,,,,
16/07/1947,Noon,1983_011_0003_0164,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,12.35S,131.3W,,,,,,210,32.6,25.6,E.,7,,,,,
16/07/1947,16:00,1983_011_0003_0164,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,80.1,80.1,E.,2,,,,,,,,,,
17/07/1947,04:00,1983_011_0003_0166,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.9,76.2,79.9,E.S.E. ,3,,,,,,,,,,
17/07/1947,Noon,1983_011_0003_0166,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,12.52S,131.27W,,,,,,235,29.4,29.4,,,,,,,
17/07/1947,16:00,1983_011_0003_0166,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,80.2,80.7,E. ,3,,,,,,,,,,
18/07/1947,04:00,1983_011_0003_0168,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024.1,78,79.7,E. ,3,,,,,,,,,,
18/07/1947,Noon,1983_011_0003_0168,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,13.8S,131.52W,,,,,,235,29.7,29.7,,,,,,,
18/07/1947,16:00,1983_011_0003_0168,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024.6,80.3,80,N.E. ,3,,,,,,,,,,
19/07/1947,04:00,1983_011_0003_0170,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.1,77.2,79.8,E. N.E. ,4,,,,,,,,,,
19/07/1947,Noon,1983_011_0003_0170,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,13.31S,132.15W,,,,,,210,32.5,32.5,,,,,,,
19/07/1947,16:00,1983_011_0003_0170,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.3,76,79.8,E. N.E. ,2,,,,,,,,,,
20/07/1947,03:00,1983_011_0003_0172,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.3,77.2,79.1,E. N.E. ,3,,,,,,,,,,
20/07/1947,Noon,1983_011_0003_0172,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,13.14S,132.42W,,,,,,300,31.9,31.9,,,,,,,
20/07/1947,15:00,1983_011_0003_0172,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.4,79.6,80,E. ,3,,,,,,,,,,
21/07/1947,03:00,1983_011_0003_0174,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.1,77.6,79.9,E. ,3,,,,,,,,,,
21/07/1947,Noon,1983_011_0003_0174,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,12.58S,133.14W,,,,,,300,35.8,31.8,E. ,4,,,,,
21/07/1947,15:00,1983_011_0003_0174,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.1,77.8,80.2,E. ,6,,,,,,,,,,
22/07/1947,03:00,1983_011_0003_0176,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1027,79,79.5,E. ,4,,,,,,,,,,
22/07/1947,Noon,1983_011_0003_0176,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,13.4S,133.49W,,,,,,240,35.6,35.6,,,,,,,
22/07/1947,15:00,1983_011_0003_0176,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1026.3,80.3,80,E. ,4,,,,,,,,,,
23/07/1947,03:00,1983_011_0003_0178,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1027.1,78.1,79.6,E. ,5,,,,,,,,,,
23/07/1947,Noon,1983_011_0003_0178,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,13.31S,134.29W,,,,,,240,48.3,48.3,,,,,,,
23/07/1947,15:00,1983_011_0003_0178,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1026.5,79.4,80,,,,,,,,,,,,
24/07/1947,03:00,1983_011_0003_0180,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1026.6,78,79.8,E. ,5,,,,,,,,,,
24/07/1947,Noon,1983_011_0003_0180,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,13.40S,135.9W,,,,,,231,41.1,31.1,E. ,10,,,,,
24/07/1947,15:00,1983_011_0003_0180,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1027,80.1,79.8,E. ,5,,,,,,,,,,
25/07/1947,03:00,1983_011_0003_0182,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1027.2,78.2,79.8,E. ,4,,,,,,,,,,
25/07/1947,Noon,1983_011_0003_0182,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,13.48S,135.56W,,,,,,236,47.7,36.7,E. ,11,,,,,
25/07/1947,15:00,1983_011_0003_0182,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1027.3,78.3,79.9,E. ,4,,,,,,,,,,
26/07/1947,03:00,1983_011_0003_0184,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1027.3,77.5,79.2,E. ,5,,,,,,,,,,
26/07/1947,Noon,1983_011_0003_0184,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,13.57S,136.44W,,,,,,236,48.7,39.7,E. ,9,,,,,
26/07/1947,15:00,1983_011_0003_0184,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.4,79.8,80,E. ,4,,,,,,,,,,
27/07/1947,03:00,1983_011_0003_0186,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.3,77.2,79.6,E. ,4,,,,,,,,,,
27/07/1947,Noon,1983_011_0003_0186,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,14.16S,137.20W,,,,,,216,40.6,33.6,E. ,7,,,,,
27/07/1947,15:00,1983_011_0003_0186,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024.6,79.8,79.9,E. ,4,,,,,,,,,,
