ALBERT 1 1898 CRUISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PARIS,PARIS,,,,,,,Greenwich,,,,,,,,,,,,,,
YEAR,MONTH,DAY,HOUR,Latitude °,Latitude ',Longitude °,Longitude ',PRESSURE mm,"PRESSURE """,PRESSURE hPa,add SG,REMARKS,Latitude,Longitude,,Sond T°C 100m,Sond T°C 210m,Sond T°C 300m,Sond T°C 410m,,,,,,,,,
1898,7,1,1900,,,,,,,,,Kaiser Wilhelm Canal,,,,,,,,,,54.12,",",-2.37,,,",",
1898,7,1,2000,,,,,762,,1015.92,,,,,,,,,,,,50.90,",",-1.33,,,",",
1898,7,2,1200,,,,,,,,,Kaiser Wilhelm Canal,,,,,,,,,,,,,,,",",
1898,7,3,1200,,,,,,,,,Kaiser Wilhelm Canal,,,,,,,,,,,,,,,",",
1898,7,4,1200,,,,,763,,1017.25,,"Canal of Kiel, Germany",,,,,,,,,,,,,,,",",
1898,7,4,1800,,,,,764,,1018.58,,,,,,,,,,,,,,,,,",",
1898,7,4,2100,,,,,765,,1019.92,,,,,,,,,,,,,,,,,",",
1898,7,5,400,,,,,765.4,,1020.45,,,,,,,,,,,,,,,,,",",
1898,7,5,800,,,,,767,,1022.58,,,,,,,,,,,,,,,,,",",
1898,7,5,900,,,,,768,,1023.92,,,,,,,,,,,,,,,,,",",
1898,7,5,1200,55,57,4,44,,,,,,55.95,7.33025463333333,,,,,,,,,,,,,",",
1898,7,5,1600,,,,,769,,1025.25,,,,,,,,,,,,,,,,,",",
1898,7,5,2000,,,,,769.5,,1025.92,,,,,,,,,,,,,,,,,",",
1898,7,5,2400,,,,,770,,1026.58,,,,,,,,,,,,,,,,,",",
1898,7,6,100,,,,,769.5,,1025.92,,,,,,,,,,,,,,,,55.95,",",7.33025463333333
1898,7,6,400,,,,,769.5,,1025.92,,,,,,,,,,,,,,,,,",",
1898,7,6,800,,,,,769.5,,1025.92,,,,,,,,,,,,,,,,,",",
1898,7,6,900,,,,,766,,1021.25,,,,,,,,,,,,,,,,,",",
1898,7,6,1030,57,45,6,7.25,,,,,,57.75,6.12083333333333,,,,,,,,,,,,,",",
1898,7,6,1200,57,57,3,39,766.5,30.21,1021.92,1023.05,,57.95,6.2469213,,,,,,,,,,,,,",",
1898,7,6,1600,,,,,766.5,,1021.92,,,,,,,,,,,,,,,,,",",
1898,7,6,2000,,,,,762.5,,1016.58,,,,,,,,,,,,,,,,,",",
1898,7,6,2400,,,,,761,,1014.58,,,,,,,,,,,,,,,,57.75,",",6.12083333333333
1898,7,7,400,,,,,760,,1013.25,,,,,,,,,,,,,,,,57.95,",",6.2469213
1898,7,7,800,,,,,759.2,,1012.18,,,,,,,,,,,,,,,,,",",
1898,7,7,1200,,,,,758,,1010.58,,Traversing the Kors Fjord,,,,,,,,,,,,,,,",",
1898,7,8,100,,,,,763,,1017.25,,,,,,,,,,,,,,,,,",",
1898,7,8,800,,,,,770,,1026.58,,,,,,,,,,,,,,,,,",",
1898,7,8,1200,,,,,,,,,"Bergen, Norway",60.397076,2.5969213,,,,,,,,,,,,,",",
1898,7,8,1300,,,,,772,,1029.25,1030.59,"Bergen, Norway",60.397076,2.5969213,,,,,,,,,,,,,",",
1898,7,8,1900,,,,,772,,1029.25,1030.59,"Bergen, Norway",60.397076,2.5969213,,,,,,,,,,,,,",",
1898,7,9,600,,,,,770,,1026.58,1027.92,"Bergen, Norway",60.397076,2.5969213,,,,,,,,,,,,,",",
1898,7,10,600,,,,,772,,1029.25,1030.59,"Bergen, Norway",60.397076,2.5969213,,,,,,,,,,,,60.397076,",",2.5969213
1898,7,11,500,,,,,772.5,,1029.92,1031.26,"Bergen, Norway",60.397076,2.5969213,,,,,,,,,,,,60.397076,",",2.5969213
1898,7,11,2000,,,,,770,,1026.58,1027.92,"Bergen, Norway",60.397076,2.5969213,,,,,,,,,,,,60.397076,",",2.5969213
1898,7,12,100,,,,,764.2,,1018.85,,,,,,,,,,,,,,,,60.397076,",",2.5969213
1898,7,12,500,,,,,755.8,,1007.65,,,,,,,,,,,,,,,,60.397076,",",2.5969213
