					"Pressure reduced to 32F, SG and MSL"						

YEAR	MONTH	DAY	HOUR	HOUR	LAT	LONG	PRESSURE	DRY BULB	WET BULB	SST	REMARKS
			GMT	SHIP			hPa	F	F	F & C	
		30		4			1012.3	76.1	74.0	79.0
				8			1012.9	80.0	75.0	78.0
			13.42	12	9 25.5 N	25 8.5 W	1014.0	81.9	75.8	79.4
				16			1011.7	82.0	75.0	80.4
				20			1012.5	80.0	74.0	78.0
				24			1013.3	79.2	73.8	78.0
		31		4			1012.1	79.0	73.9	78.8
				8			1013.6	81.2	74.0	80.2
			13.40	12	7 46.5 N	24 48 W	1014.0	82.0	75.0	80.9
				16			1012.5	80.1	75.0	80.2
				20			1014.3	77.0	74.0	78.0
				24			1014.1	76.0	73.0	78.0
1929	9	1		4			1012.0	77.0	74.0	78.2
				8			1013.9	77.9	74.9	78.0
			13.40	12	5 58.5 N	24 38.5 W	1014.2	79.0	75.0	79.0
				16			1012.7	76.9	74.0	79.0
				20			1014.2	79.0	74.0	79.0
				24			1014.5	79.0	72.3	77.5
		2		4			1012.3	77.0	73.0	79.0
				8			1013.3	79.2	73.0	79.0
			13.40	12	4 35.5 N	24 53.5 W	1013.9	79.2	73.0	77.9
				16			1012.7	78.8	72.1	78.9
				20			1015.0	78.5	73.0	77.0
				24			1015.2	78.2	73.4	78.2
		3		4			1013.7	77.8	71.8	78.0
				8			1015.5	78.0	72.0	77.0
			13.43	12	3 11.15 N	25 53 W	1014.5	78.0	73.1	76.7
				16			1013.2	77.5	72.2	78.1
				20			1015.2	77.2	72.2	75.2
				24			1016.0	77.0	71.9	76.0
		4		4			1013.2	76.1	71.8	77.0
				8			1014.6	77.5	73.0	76.0
			13.47	12	1 29 N	26 58 W	1014.5	77.4	72.4	76.9
				16			1012.8	77.1	73.0	77.0
				20			1012.3	77.5	74.0	76.5
				24			1014.6	75.6	72.7	75.3
		5		4			1012.9	75.5	72.9	75.8
				8			1014.0	74.0	71.8	73.9
