					"Pressure reduced to 32F, SG and MSL"						

YEAR	MONTH	DAY	HOUR	HOUR	LAT	LONG	PRESSURE	DRY BULB	WET BULB	SST	REMARKS
			GMT	SHIP			hPa	F	F	C	
1930	11	22	2.00	16	"Hobart,"	Tasmania	1018.9	56.9	52.3	15.09	Celsius
				20			1021.3	52.5	48.8	12.66	
				24			1021.5	51.0	48.8	12.35	
		23		4			1019.7	49.9	46.8	11.60	
				8			1019.7	49.0	46.5	11.31	
			2.00	12	43 58 S	147 35 E	1018.3	50.6	47.9	12.38	
				16	Dead reckoning	Sun observed	1015.9	50.9	46.9	12.61	
				20			1015.5	50.4	47.5	12.59	
				24			1013.0	48.9	47.0	12.30	
		24		4			1011.4	46.6	45.2	9.97	
				8			1010.0	49.1	46.0	11.87	
			2.00	12	45 06.5 S	146 58 E	1007.8	50.0	46.5	12.48	
				16			1005.4	51.4	47.9	12.72
				20			1006.0	49.0	48.4	11.76
				24			1005.3	48.4	45.9	12.36
		25		4			1005.9	46.5	45.1	8.58
				8			1009.7	44.8	40.9	8.58
			2.00	12	46 39 S	146 50.5 E	1012.9	45.1	40.9	8.96
				16			1015.0	45.0	39.0	9.96
				20			1017.7	44.7	38.3	10.08
				24			1018.6	44.0	40.2	8.55
		26		4			1018.7	43.3	39.9	8.45
				8			1019.2	43.0	40.1	8.09
			2.00	12	48 15.5 S	146 30 E	1019.1	45.5	40.3	8.18
				16			1016.5	45.9	42.9	8.12
				20			1014.2	46.6	44.1	8.09
				24			1012.2	47.0	46.4	8.10
		27		4			1010.2	47.8	47.6	8.06
				8			1008.2	47.9	47.0	7.07
			2.00	12	50 28 S	147 09 E	1006.1	48.4	47.5	7.96
				16			1003.7	48.0	47.0	7.54
				20			1003.6	46.8	46.7	7.27
				24			1004.4	45.1	45.0	6.87
		28		4			1004.4	45.1	44.8	6.65
				8			1006.2	45.0	43.8	5.76
			1.50	12	51 23.5 S	149 26.5 E	1005.4	45.1	44.3	5.97
				16			1003.7	44.0	44.0	5.72
				20			1003.1	44.2	44.2	6.10
				24			1000.9	43.9	43.9	6.15
		29		4			999.1	44.0	44.0	6.36
				8			999.0	43.9	43.9	6.18
			1.38	12	52 12 S	152 26 E	998.4	43.6	43.6	5.60
				16	Dead reckoning	Sun observed	999.8	42.5	42.5	5.70
				20			1002.2	41.2	41.1	5.75
				24			1002.7	39.2	38.7	7.11
		30		4			1003.2	40.0	38.0	6.68
				8			1004.9	39.2	36.5	5.98
			1.29	12	53 04 S	154 51 E	1006.1	40.4	37.5	6.70
				16			1007.1	40.9	38.5	5.12
				20			1007.5	39.8	38.7	5.11
				24			1008.2	38.9	35.8	4.99
1930	12	1		4			1008.7	38.9	36.2	4.55
				8			1010.4			4.38
			1.16	12	54 24 S	158 4.5 E	1010.5	39.9	37.5	4.55
				16			1011.0	39.5	38.4	4.54
				20			1011.0	38.4	36.5	4.57
				24			1009.7	40.0	39.0	4.57
		2		4			1005.7	40.8	40.2	4.67
				8			1004.8	43.0	40.5	4.67
			1.14	12	54 29.5 S	158 58.5 E	1006.7	40.9	37.9	4.76
				16			1007.0	40.2	38.5	4.59
				20			1008.7	39.5	37.0	4.57
				24			1010.3	39.7	36.5	4.65
		3		4			1009.2	40.8	39.0	4.64
				8			1007.8	40.5	39.8	4.66
			1.14	12	54 29.5 S	158 58.5 E	1008.9	42.0	41.7	4.60
				16			1009.0	42.9	41.9	4.59
				20			1008.2	42.1	41.7	4.49
				24			1008.7	41.2	40.5	4.49
		4		4			1008.7	40.5	39.7	4.48
				8	At anchor	Lusitania Bay	1009.4	40.9	40.1	4.42
			1.14	12	54 42 S	158 54.5 E		41.9	40.5	4.01
				16			1007.0	42.1	40.9	4.07
				20			1004.6	43.4	42.7	4.14
				24				42.0	41.9	4.17
		5		4			1006.9			4.22
				8						3.88
			1.15	12	55 03 S	158 46.5 E				3.55
				16			1008.9	40.9	40.9	4.01
				20			1006.6	40.0	40.0	3.68
				24			1003.5	40.0	40.0	3.31
		6		4			1000.3	40.3	40.3	3.71
				8			995.6			3.70
			1.15	12	56 48.5 S	158 37.5 E	992.3	41.0	41.0	3.25
				16	Dead reckoning	Sun observed	992.6	39.0	38.7	3.06
				20			994.2	39.0	38.3	2.98
				24			996.6	36.9	34.3	2.98
		7		4			998.8	36.1	34.3	3.01
				8			1001.2	36.8	33.8	2.98
			1.10	12	57 48 S	160 02 E	1003.3	37.6	35.1	2.98
				16			1003.7	37.9	36.8	2.44
				20			1001.0	38.0	37.7	2.38
				24			994.1	38.8	38.8	2.80
		8		4			992.3	38.6	38.6	2.44
				8			993.1	36.3	36.3	1.43
			1.08	12	59 16 S	160 57 E	996.8	35.0	35.0	1.29
				16	Dead reckoning	Sun observed	997.9	34.6	34.5	1.45
				20			995.8	34.5	34.1	2.37
				24			993.5	32.3	32.3	0.88
		9		4			990.5	32.8	32.5	1.17
				8			991.7	32.1	31.7	1.13
			1.04	12	60 52.5 S	162 13.5 E	993.3	31.1	30.2	0.56
				16			994.3	32.0	30.9	0.33
				20			994.1	32.0	32.0	0.24
				24			994.0	32.0	32.0	0.09
		10		4			992.1	31.8	31.8	-0.13
				8			991.0	31.3	31.2	-0.44
			0.58	12	62 24.5 S	163 36 E	989.8	31.7	31.7	-0.06
				16	Dead reckoning	Sun observed	988.2	30.2	29.7	-0.30
				20			988.1	27.8	27.1	-0.66
				24			987.6	27.0	25.9	-0.86
		11		4			986.9	25.5	23.6	-0.81
				8			985.4	26.2	25.0	-1.12
			0.46	12	63 06.5 S	166 55 E	984.4	27.1	26.1	-0.49
				16			983.4	27.9	26.9	0.18
				20			983.2	27.9	26.6	-0.59
				24			983.2	27.6	26.6	-0.30
		12		4			982.2	27.3	26.2	-0.17
				8			982.0	26.4	25.1	-0.50
			0.31	12	63 52.5 S	170 25 E	982.1	26.3	24.7	-0.57
				16	Dead reckoning	Sun observed	982.1			-0.65
