	"William Wales - Journal on the Resolution, 21 June 1772-17 Oct. 1774"														
															

YEAR	MONTH	DAY	OBS	OBS	BAR 1	BAR 2	THER. A	THER. B							
			LAT	LONG	NOON	NOON	NOON	NOON							
1772	7	13		4 51 W	30.16	30.42	64.0	64.0							
		2	44 26		29.00	29.45	55.0	49.0
		3	45 45		29.40	29.70		
		4	47 9.3	17 15	29.60	29.80	52.0	48.0
		5	48 34.3	17 42	29.60	29.65	50.0	38.0
		6	49 49		29.60	29.80	47.0	42.5
		8	49 45		29.15	29.50	44.0	36.0
		9	51 4.45	20 16.3	29.20	29.65	44.0	36.0
		10	51 49	20 50	29.15	29.40	50.0	36.0
		12			28.50	28.90	50.0	32.0
		13	54 55	21 22.3	29.05	29.30	49.0	33.0
		14			28.50	28.65	49.5	33.0
		15			28.50	28.90		
		16	55 16	22 58.3	29.20		53.0	33.5
		17			29.30	29.50	56.0	31.0
		18		24 45	28.95	29.30	54.0	31.5
		19			28.90	29.20		
		20	54 10.2	28 51.15	28.90	29.20	50.0	33.5
		21	54 54	29 45.3	29.10	29.30	52.0	33.0
		22	55 25		29.60	29.70	59.3	36.0
		23	56 31.7	30 52.3	29.35	29.65	57.0	35.0
		24			28.95	29.15	57.5	32.3
		25	58 31.3	26 19.3	29.10	29.20	52.0	31.5
		26	58 20	24 15	29.35	29.55	54.0	36.0
		27	58 44.4	21 15	29.00	29.15	50.0	36.0
		28	59 12		29.15	29.25	56.0	36.0
		29	59 23	16 22.4	29.05	29.10	56.0	36.0
		30			28.85	29.15	52.0	31.5
1773	1	1		19 36.3	29.45	29.65	50.3	31.0
		2			29.25	29.50	52.0	33.0
		3	59 1.5		29.60	29.60	50.8	36.0
		4			29.35	29.45	51.5	36.5
		5			29.05	29.30	51.5	36.5
		6	60 40.5	28 5	29.00	29.15	54.0	35.0
		7	61 21	32 4.5	29.05	29.20	53.0	36.5
		8	61 36	34 51	29.10	29.35	56.0	36.0
		9	62 00	36 22.3	29.15	29.35	55.0	34.0
		10		37 36.3	29.20	29.35	52.0	35.0
		11	64 11.4	38 25	29.15	29.25	56.0	35.0
		12	64 16	38 54.5	29.20	29.40		
		13	63 57	39 51	29.10	29.25	57.0	35.0
		14	63 32.5	40 1	29.00	29.15	58.0	42.0
		15	64 31	39 51.1	28.90	29.20	56.0	35.0
		16	66 36	39 57	29.00	29.20	54.0	34.0
		19		40 47	28.50	28.85	53.0	35.5
		20	62 67.15	41 50	28.35	28.75	53.0	35.0
		21	61 33	43 56	28.90	29.00	54.0	37.0
		22	60 2.45	46 47.3	28.85	29.10	54.0	36.5
		23	58 24	49 50	29.15	29.40	51.0	34.0
		24			28.70	29.00	54.0	36.0
		25			28.05	28.50	53.5	35.0
		26	56 28	51 55.3	28.75	29.05	51.7	35.0
		27	54 28	51 34	29.25	29.60	51.0	36.5
		28	52 29			29.50		
		29			29.40	29.75	55.0	39.5
		30	50 52	56 52	29.35	29.75	53.0	38.5
		31	48 51.3	57 25.15	29.80	30.10	54.0	41.5
	2	1	48 36.3	59 41.3	29.80	30.05	56.5	
		2		60 28	29.65	29.95	57.0	46.0
		3	49 15	59 10	29.50	29.80	56.5	45.0
		4	49 7	58 31	29.40	29.80	59.5	41.0
		5	48 6.15	58 46	29.45			
		6	48 56.2		29.55	29.85	54.0	44.0
		7			29.10	29.40	58.0	43.3
		8	50 1	64 3	28.60	29.05	67.5	46.0
		10	51 14	67 27	29.05	29.30	59.0	40.0
		11	52 48	70 48	29.40	29.70	56.0	38.0
		12	53 54	73 21	29.40	29.76	53.0	36.0
		13		74 3				
		14	56 50	79 40	29.25	29.55	52.0	36.5
		15	57 45	81 47	29.35	29.66	56.0	34.0
		16			28.90	29.16	51.0	35.0
		17	57 57	83 19	29.15	29.20	53.0	33.0
		18	58 30		29.05	29.35	52.7	35.0
		19	58 46.4	91 38	29.20	29.40	56.0	35.0
		20		92 33	29.35	29.50	55.0	36.5
		21		93 47				
		22	61 13		28.65	28.80	55.0	35.0
		23			28.40	28.70	52.0	35.0
		24	60 48	95 18	28.90	29.05	56.0	36.5
		25	61 8	97 43.4	29.00	29.20	57.0	36.0
		26			28.15	28.60	52.3	34.8
		27	59 57	104 40	28.90	29.10	50.0	36.0
		28			28.20	28.60	53.0	35.5
	3	1			28.35	28.75	55.0	32.0
		2	60 16.2	109 56	28.90	29.20	55.0	38.0
		3			28.70	28.95	53.5	36.0
		4	60 38	117 3.15	28.65	29.10	55.0	32.0
		5		118 10	28.50		58.0	37.0
		6			28.45	28.70	54.5	34.5
		7	59 43.4	120 49	28.85	29.00	56.8	40.0
		8	58 55.3		28.45	28.80	51.5	37.0
		9	58 6		28.85	29.15	48.5	35.0
		10	58 9	129 54.4	29.00	29.30	51.0	37.0
		11	58 55.3	131 13.4	28.83	29.10	56.3	39.0
		12	58 42	132 49	28.60	28.80	53.3	34.3
		13	58 21	136 15.4	28.75	29.00	51.5	
		14	59 04	139 58	28.70	29.00	50.0	34.0
		15	58 51.4	143 8.2	29.00	29.25	53.0	35.5
		16		147 33	29.35	29.55	51.0	35.5
		17	56 31.2	150 7.15			52.0	48.0
		18			29.70	29.90	52.3	43.0
		19	53 22.4	154 45	29.60	29.90	54.5	45.0
		20			29.70	30.20	56.5	40.0
		21	49 55.15	159 24	29.70	29.90	56.0	
		22	47 45.4	161 42.15	30.00	30.35	58.0	49.0
		23		163 47	29.80	30.10	57.5	52.5
		24	46 15		29.75	29.95	58.0	54.0
		25			30.10	30.20	56.0	52.0
	5	11			30.20	30.45	61.0	49.0
		12			30.20	30.40	61.8	55.0
		13	41 52		30.35	30.60	65.0	58.0
		14	41 13		30.20	30.40	62.0	56.0
		15			29.60	29.90	63.5	59.0
		16	40 33	173 33.4	29.60	29.70	57.5	
		17	41 03					
	6	7	41 56.1		29.80	30.00	58.0	52.0
		8	42 57.3		29.75	29.90	56.8	55.0
		9	43 54	179 54	29.80	29.90		
		10			29.65	29.90	59.0	51.5
		11			29.45	29.90	59.0	51.8
		12			29.90	30.10	59.0	51.5
		14	46 46.5	186 14	29.55	29.85	56.0	48.5
		15			29.60	29.90	55.3	49.0
		16	46 18.15	186 58	29.55	29.95	56.5	49.5
		17	45 54	188 59.3	29.70	30.10	55.0	
		18			29.95	30.30	54.5	48.0
		19			30.05	30.25	54.0	48.3
		20	44 26	190 9	30.15	30.40	53.8	50.5
		21	44 35.4	196 46	30.10	30.40	54.0	
		22	44 37.3	198 14.3	30.15	30.40	56.0	50.5
		23			29.25	29.70	55.5	
		24			29.00	29.45	58.8	
		25	43 9.6	196 24	29.10	29.45	60.0	
		26	42 34		28.95	29.30	59.0	53.3
		27			29.25	29.55	60.0	52.5
		28	42 46.15		29.30	29.50	61.5	52.8
		29	43 06		29.55	29.75	61.3	59.0
		30	43 07	202 11.4	29.65	29.90	56.0	49.0
	7	1	43 9.6	203 02	29.70	29.90	56.5	47.0
		2	43 18	204 29.4	29.50	29.75	56.5	49.8
		3	43 58	205 23.3	29.60	29.90	54.0	43.3
		4	43 11	207 28	29.70	29.99	53.5	48.0
		5	43 6	208 10	29.55	29.80	56.8	51.0
		6	41 22	209 10.4	29.35	29.60	57.0	52.5
		7		211 06.3	29.40	29.50	59.5	
		8	42 39	213 15	29.50	29.95	50.8	47.0
		9		215 47	29.70	29.95	56.0	51.0
		10	43 34	217 49.3	30.20	30.40	54.0	47.0
		11	43 16	219 38	30.15	30.20		
		12	43 01.7	221 8	30.20	30.35	56.3	49.5
		13			29.95	30.25	56.0	50.0
		14			29.40	29.90	56.0	52.0
		15	41 24.2	224 6.4	29.30	29.70	51.0	46.0
		16	39 43	226 26	29.60	30.00	48.0	44.3
		17	37 56	226 38	30.00	30.40	51.0	49.8
		18	36 34.15	226 59.15	30.20	30.45	55.3	54.0
		19	35 21	226 49	30.00	30.10	59.3	
		20		226 5.3	29.45	29.80	60.5	59.5
		21	31 05.3	225 29.4	29.50	29.75	64.0	63.0
		22	29 22	225 8.4	29.70	30.00	66.0	63.5
		23			29.70	29.90		
