	"Journal on the Investigator, Jan. 1801-July 1802 (Vol. 1) - Matthew Flinders"									
	"Journal on the Investigator, July 1802 - June 1803 (Vol. 2)"									
										
		"""The barometer stood in my cabin, and the height of the mercury was taken at"								
		"daybreak, at noon, and at eight in the evening, by the officer of the watch; as"								
		"well also that of the thermometer."""								

YEAR	MONTH	DAY	HOUR	LAT D.R.	LONG D.R.	BAR	THER.	WATER		
1801	6	2	1200	Into Spithead			62.5			
			800			30.13	76.0
			1200	1 39	24 19		74.0
			1600				74.0
			2000			30.10	74.0
			2400				74.0
		13	400				74.5
			800			30.08	77.0
			1200	3 6	25 16		75.0
			1600				75.0
			2000			30.08	75.0
			2400				76.0
		14	400				76.0
			800			30.11	
			1200	4 49	26 8		75.0
			1600				75.0
			2000			30.07	74.0
			2400				75.0
		15	400				77.0
			800			30.08	77.0
			1200	6 26	27 8		75.0
			1600				74.0
			2000			30.06	75.0
			2400				74.0
		16	400				77.0
			800			30.09	81.0
			1200	8 3	27 57		78.0
			1600				75.0
			2000			30.11	74.0
			2400				75.0
		17	400				76.0
			800			30.12	79.0
			1200	9 49	28 37		75.0
			1600				74.0
			2000			30.09	74.0
			2400				74.0
		18	400				75.0
			800			30.15	79.0
			1200	12 2	29 34		73.0
			1600				74.0
			2000			30.10	72.0
			2400				73.0
		19	400				75.0
			800			30.15	74.0
			1200	14 34	30 7		73.0
			1600				73.0
			2000			30.22	72.0
			2400				74.0
		20	400				76.0
			800			30.24	75.0
			1200	16 39	30 0		73.0
			1600				72.0
			2000			30.28	73.0
			2400				72.0
		21	400				77.0
			800			30.33	87.0
			1200	18 12	30 7		72.0
			1600				71.0
			2000			30.28	70.0
			2400				74.0
		22	400				76.0
			800			30.28	77.0
			1200	19 9	30 14		
			1600				72.0
			2000			30.27	71.0
			2400				71.0
		23	400				70.0
			800			30.26	72.0
			1200	19 36	30 22		69.0
			1600				69.0
			2000			30.22	69.0
			2400				71.0
		24	400				71.0
			800			30.29	72.0
			1200	20 04	30 39		69.0
			1600				69.0
			2000			30.28	68.0
			2400				70.0
		25	400				73.0
			800			30.35	75.0
			1200	21 4	31 32		69.0
			1600				68.0
			2000			30.33	67.0
			2400				68.0
		26	400				72.0
			800			30.33	74.0
			1200	22 33	32 06		69.0
			1600				68.0
			2000			30.18	65.0
			2400				68.0
		27	400				71.0
			800			30.13	71.0
			1200	24 7	31 44	29.98	70.0
			1600				70.0
			2000			29.83	67.0
			2400			29.82	65.0
		28	400			29.82	71.0
			800			29.78	68.0
			1200	26 50	30 37	29.82	66.0
			1600				64.0
			2000			29.78	64.0
			2400				63.0
		29	400				63.0
			800			29.84	64.0
			1200	29 6	29 12		64.0
			1600				
			2000			29.96	63.0
			2400				62.0
		30	400				66.0
			800			30.02	65.0
			1200	31 8	27 56	30.05	64.0
			1600				63.0
			2000			30.05	63.0
			2400				64.0
	10	1	400				69.0
			800			30.00	65.0
			1200	30 45	24 45	30.00	63.0
			1600				63.0
			2000			30.04	60.0
			2400				62.0
		2	400				69.0
			800			30.07	61.0
			1200	30 45	22 16		62.0
