	S.M.S. PLANET 1906/1907							

Pg. 3								

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	TEMP (C)	SST
	3	1	400			759.7	26.4	27.1
			800			760.8	26.9	27.1
			1200	7 20	13 55	760.2	29.0	28.2
			1600			758.6	29.0	28.6
			2000			758.9	27.7	27.8
			2400			759.7	28.0	27.7
		2	400			758.4	27.9	27.8
			800			760.4	28.9	28.0
			1200	6 6	11 54	759.6	30.3	28.2
			1600			758.9	29.0	29.5
			2000			760.8	28.2	29.1
			2400					29.0
		3	400			759.8	28.0	28.6
			800			761.2	28.6	28.8
			1200	4 50	10 11	759.9	30.0	29.5
			1600			758.1	29.5	29.4
			2000			760.3	28.7	29.1
			2400			760.8	28.1	29.0
		4	400			760.0	27.8	28.5
			800			761.0	26.5	28.5
			1200	3 50	8 31	760.1	29.2	28.3
			1600			758.8	27.5	28.4
			2000			760.5	28.0	28.3
			2400			760.1	27.8	28.7
		5	400			759.2	27.6	
			800			760.7	28.1	28.5
			1200	2 39	6 18	760.0	30.5	29.0
			1600			758.3	28.8	29.0
			2000			759.5	28.2	28.8
			2400			760.6	28.0	28.5
		6	400			758.2	27.8	28.4
			800			760.0	28.0	28.4
			1200	1 20	5 11	759.3	28.1	28.5
			1600			758.7	28.2	28.7
			2000			760.4	27.8	28.6
			2400			760.0	27.4	28.5
		7	400			760.0	27.2	27.6
			800			761.3	27.6	27.8
			1200	1 18 S	5 8	760.6	27.8	28.0
			1600			759.6	27.7	28.5
			2000			760.8	27.8	28.5
			2400			760.8	27.4	28.0
		8	400			758.5	27.3	27.8
			800			760.5	26.5	27.7
			1200	3 42	4 57	760.5	27.5	
			1600			759.5	28.1	27.9
			2000			760.9	27.8	27.8
			2400			760.9	27.0	27.8
		9	400			758.0	27.1	27.4
			800			761.4	27.5	27.4
			1200	4 52	4 59	760.9	28.0	28.0
			1600			759.2	27.4	27.6
			2000			760.4	27.1	27.6
			2400			760.7	26.8	27.5
		10	400			758.9	26.6	28.1
			800			760.4	27.5	27.1
			1200	6 35	5 20	760.0	27.0	27.7
			1600			758.8	26.8	27.2
			2000			760.3	26.3	27.0
			2400			759.8	26.2	26.8
