HMS EREBUS - VOYAGE TO SOUTHERN AND ANTARCTIC REGIONS								

YEAR	MONTH	DAY	LAT	LONG	MEAN TEMP	MEAN SST	MEAN 	
					F	F	BAROMETER	(corrected)
		17	76  35  	165  21   	27.50	28.90	29.106
		18	76  06  	166  11   	26.20	28.90	29.008
		19	75  03  	168  45   	23.90	28.90	28.949
		20	73  10  	171  26   	22.20	29.10	28.910
		21	71  05  	169  58   	24.70	29.40	28.924
		22	70  27  	166  40   	24.10	29.00	28.531
		23	70  17  	167  32   	23.30	28.90	28.681
		24	70  15  	167  35   	24.60	29.00	28.605
		25	70  06  	167  27   	21.30	28.90	28.668
		26	69  52  	167  53   	29.00	29.40	28.552
		27	69  24  	167  55   	24.80	28.90	28.704
		28	69  57  	167  05   	20.20	28.90	28.820
		Mean			24.28	29.18	28.927
					24.29	29.18	28.927
							
1841	3	1	69  04  	167  45   	20.20	28.80	28.789
		2	68  27  	167  42   	21.90	28.50	28.632
		3	67  45  	167  01   	13.70	28.20	28.666
		4	66  44  	165  45   	23.60	28.80	28.476
		5	65  34  	167  47   	25.10	28.80	28.873
		6	65  51  	164  45   	26.60	28.80	28.957
		7	65  29  	162  10   	26.70	28.80	28.858
		8	64  38  	162  53   	28.80	29.30	29.055
		9	64  20  	164  15   	32.10	30.90	28.726
		10	64  06  	163  20   	29.70	30.00	28.623
		11	64  03  	163  09   	30.10	30.00	28.707
		12	64  12  	161  20   	28.80	29.40	28.528
		13	63  28  	159  35   	28.70	30.20	28.796
		14	62  42  	156  31   	27.90	29.40	28.441
		15	64  01  	155  57   	26.70	29.20	28.989
		16	64  10  	154  40   	21.60	28.60	28.844
		17	64  22  	152  58   	23.00	28.60	28.872
		18	63  51  	151  47   	28.30	30.10	29.067
		19	64  21  	148  45   	27.50	30.00	28.835
		20	65  15  	143  45   	20.60	28.70	28.905
		21	64  07  	140  22   	23.30	29.00	29.164
		22	62  58  	139  18   	31.20	31.10	29.068
		23	62  12  	136  18   	33.50	32.30	29.024
		24	61  11  	133  52   	33.10	33.50	28.692
		25	60  22  	131  28   	34.40	34.20	28.614
		26	59  24  	130  03   	34.40	34.70	29.023
		27	58  03  	128  40   	34.40	35.50	29.011
		28	57  21  	127  46   	37.20	36.30	28.897
		29	56  28  	129  57   	37.20	36.60	29.088
		30	55  09  	132  28   	39.70	38.00	29.445
		31	54  04  	134  51   	39.60	38.50	29.640
		Mean			28.69	31.12	28.881
					28.70	31.12	28.881
							
							
							
							
							
							
							
							
1841	8	1					
		2					
		3					
		4					
		5					
		6					
		7					
		8					
		9					
		10					
		11					
		12					
		13					
		14					
		15					
		16					
		17					
		18					
		19	Anchored at		52.90	55.60	30.158
		20	Kawa Kawa 	River	51.00	54.30	30.172
		21	New Zealand		51.50	55.20	30.059
		22			51.80	54.90	30.015
		23			52.30	54.70	30.126
		24			53.70	55.00	30.056
		25			54.70	55.80	29.893
		26			52.60	55.10	29.721
		27			51.40	54.60	29.961
		28			54.60	56.40	30.119
		29			57.20	57.00	29.925
		30			52.60	55.10	30.113
		31			49.40	55.30	30.239
		Mean					
					53.03	55.31	30.027
							
1841	9	1			50.70	53.90	30.258
		2			50.70	54.00	30.301
		3			51.50	55.20	30.392
		4			52.40	55.30	30.442
