	"METEOROLOGICAL OBSERVATIONS, BY THE UNITED STATES EXPLORING EXPEDITION"														
	U.S. SHIP VINCENNES 														

Pg. 1															

															
YEAR	MONTH	DAY	HOUR	LAT	LONG	THERMOMETERS					WIND				
				North	West	Air	Water	Masthead	Barom	Hygrom	Direct	Force	 Clouds	Weather	Remarks
			1500			80.0	80.0	73.0	30.200	82°70°					
			1600			80.0	80.0								
			1700			80.0	80.0					5		c.q.	
			1800			79.0	80.5								
			1900			78.0	79.0								
			2000			77.0	79.0					6			
			2100			77.0	79.0		30.150	82°71°		5			
			2200			78.0	78.0								
			2300			78.0	78.0								
			2400			78.0	78.0								
			Mean.			79.0	80.7	76.0	30.208						
						79.0	80.7	76.00	30.208						
		26	100			77.0	77.0				S.Ed	5		c.q.p.	Course N.79° E.
			200			77.0	77.0					6			
			300			77.0	77.0	76.0	30.100	82° 72°					
			400			77.0	77.0					7		c.q.p.	
			500			76.0	77.0				Sd.				
			600			76.0	78.0								
			700			76.0	80.0				S. S. W.				Influence of easterly
			800			76.0	80.0								current
			900			79.0	82.0	74.0	29.890	83°75°		6			
			1000			79.0	82.0								
			1100			79.0	82.0						Nimbi.	c.	
			1200	37 14	66 08	79.0	82.0					5			
			1300			80.0	81.0				W. S. W				
			1400			80.0	81.0							c.q.	
			1500			75.0	82.0	74.0	29.850	84°73°					
			1600			76.0	82.0				W. by N				Peacock parted company
			1700			76.0	83.0				West.				
			1800			76.0	83.0								
			1900			77.0	81.0				Var. from			c.p.	
			2000			77.0	81.0				S.S.W. to				
			2100			76.0	81.0	74.3	29.950	83°65°	N.N.W 			c.q.p.l.	
			2200			76.0	81.0								
			2300			76.0	81.0								
			2400			74.0	78.0								
			Mean.			77.0	80.0	74.6	29.947						
						77.0	80.3	74.57	29.947						
		27	100			74.0	78.0				N. W.	5		c.q.	Course S. 86°E
			200			73.0	78.0					6			
			300			73.0	78.0		29.750	84°75°					
			400			72.0	78.0							b.	Easterly current.
			500			71.0	78.0					5			
			600			72.0	77.0								
			700			70.0	77.0								
			800			72.0	79.0						Cirri.	c.	
			900			70.0	79.0		29.950	78°70°					
			1000			71.0	79.0								
			1100			71.0	79.0								
			1200	37 04	62 02	71.0	79.0								
			1300			72.0	79.0								
			1400			73.0	79.0								
			1500			73.0	79.0		30.000	78° 60°			Cirri&	b. c.	
			1600			72.0	79.0					4	cumuli		
			1700												
			1800								Westd.				
			1900			71.0	79.0								
			2000			71.0	79.0								
			2100			70.0	77.0	69.0	30.100	84°55°					
			2200			70.0	77.0								
			2300			70.0	77.0								
			2400			69.0	77.0								
			Mean.			70.2	79.6	69.0	29.950						
						71.4	78.2	69.00	29.950						
		28	100			69.0	77.0				Nd &Wd	4	 Cirri.	b. c.	Course S 85° E
			200			69.0	77.0					3			
			300			69.0	77.0	71.0	30.100	75°55°		2			
			400			69.0	77.0					1			
			500			69.0	77.0				Sd.		cir.cum.		
			600			70.0	77.0								
			700			71.5	77.0					2			
			800			72.0	76.0					4			
			900			73.0	77.0		30.150	74°59°					Less current
			1000			75.0	77.0								
			1100			76.0	78.0								
			1200	36 53	59 39	78.0	78.0								
			1300			78.0	79.0					3			
			1400			78.0	79.0						Cum. st	c.	
			1500			78.0	78.0	80.0	30.150	78°59°					
			1600			76.0	78.0								
			1700			75.0	79.0								
