	"ACCOUNT OF A VOYAGE OF DISCOVERY TO THE WEST COAST OF CORREA,"							
	"AND GREAT LOO-CHOO ISLAND, CAPT. BASIL HALL"							

Pg. xlv								

YEAR	MONTH	DAY	HOUR	LAT	LONG	SST	AIR TEMP	BAR
			1300					29.78
			1400					29.80
			1600			77.5	77.0	29.78
			1800					29.79
			2000			77.5	77.0	29.79
		22	400			77.0	75.0	29.69
			600					29.72
			800			76.0	77.0	29.71
			1000					29.71
			1100					29.75
			1200	34 44	123 55	77.0	78.0	29.75
			1400					29.74
			1600			79.0	79.0	29.75
			1800					29.73
			2000			77.0	76.0	29.73
			2400			76.0	75.0	29.74
		23	400			76.0	75.0	29.76
			800			77.0	77.0	29.78
			1000					29.80
			1200	35 06	123 06	78.0	79.0	29.80
			1400					29.79
			1600			78.0	81.0	29.79
			1800					29.78
			2000			77.5	78.0	29.76
			2400			76.0	77.0	29.77
		24	800			76.5	77.0	29.75
			900					29.77
			1000					29.82
			1100					29.86
			1200	36 27	123 01	73.0	75.0	29.88
			1400					29.70
			1600			74.0	76.0	29.69
			1800					29.70
			2000			72.0	75.0	29.70
		25	400			71.0	70.0	29.70
			800			66.0	71.0	29.70
			1000					29.70
			1100					29.70
			1200	37 82	122 37	73.0	74.0	29.70
			1400					29.70
			1600			72.0	77.0	29.66
			1800					29.66
			2000			72.0	76.0	29.61
			2400			75.0	75.0	29.61
		26	400			72.0	74.0	29.61
			800			72.0	74.0	29.61
			1000					29.62
			1100					29.62
			1200	38 07	122 0	72.0	74.0	29.62
			1400					29.62
			1600			66.0	76.0	29.59
			1800					29.60
			2000			68.0	73.5	29.60
			2400			74.0	75.0	29.60
		27	800			77.5	77.0	29.69
			1000					29.69
			1100					29.70
			1200	Gulf of Petchelee		76.0	76.0	29.70
			1400					29.68
			1600			77.0	76.0	29.61
			1800	Anchored				29.61
			2000			82.0	77.0	29.80
			2200					29.84
		28	400			80.5	80.0	29.70
			800			82.0	82.5	29.63
			1000					29.61
			1100					29.62
			1200			82.5	83.5	29.60
			1400					29.60
			1600			82.0	81.0	29.61
			1800					29.62
			2100			82.0	83.0	29.61
			2400			82.0	80.0	29.60
		29	400			81.5	79.0	29.59
			800			82.0	82.0	29.60
			1100					29.62
			1200	"Mouth of Pei-ho River, Yellow Sea"		84.0	82.0	29.60
			1400					29.59
			1600			84.5	83.0	29.53
			1800					29.55
			2000			82.0	82.5	29.55
			2400			82.0	80.0	29.63
		30	800			82.0	82.0	29.50
			1000					29.63
			1100					29.63
			1200	"Mouth of Pei-ho River, Yellow Sea"			81.0	29.62
			1400					29.65
			1600			84.0	81.0	29.65
			1800					29.60
			2000			83.5	82.0	29.61
			2400			82.0	83.0	29.63
		31	800			82.0	83.0	29.62
			1000					29.70
			1200	"Mouth of Pei-ho River, Yellow Sea"		85.0	84.0	29.70
			1400					29.70
			1600			86.0	83.0	29.71
			1800					29.71
			2000			82.0	82.5	29.72
			2400			82.5	83.0	29.84
	8	1	400			84.0	83.0	29.69
			800			82.5	81.0	29.70
			1000					29.69
			1200	"Mouth of Pei-ho River, Yellow Sea"		82.5	81.0	29.70
			1400					29.63
			1600			82.0	82.0	29.66
			2000			82.0	80.0	29.66
			2400			82.0	79.0	29.65
		2	800			82.0	78.5	29.62
			1100					29.68
			1200	"Mouth of Pei-ho River, Yellow Sea"		82.5	79.0	29.67
			1400					29.63
			1600			83.0	78.5	29.63
			1800					29.63
			2000			82.5	78.0	29.65
			2400			82.0	79.0	29.70
		3	400			81.0	77.0	29.72
			800			81.0	77.5	29.84
			1100					29.84
			1200	"Mouth of Pei-ho River, Yellow Sea"		82.0	79.0	29.82
			1400					29.80
			1600			82.0	76.0	29.80
			1800					29.84
			2000			80.0	76.0	29.90
			2400			80.5	75.0	
		4	800			81.0	78.0	29.69
			1000					29.70
			1100					29.70
			1200	"Mouth of Pei-ho River, Yellow Sea"		81.0	78.5	29.70
			1400					29.68
			1600			81.0	78.0	29.68
			1800					29.68
			2000			80.0	78.0	29.68
			2400			81.0	77.0	29.68
		5	400			80.0	77.0	29.68
			800			80.5	78.0	29.68
			1000					29.69
			1200	"Mouth of Pei-ho River, Yellow Sea"		81.0	78.0	29.68
			1400					29.68
			1600			81.5	81.0	29.66
			1800					29.65
			2000			82.0	81.0	29.64
			2400					29.59
		6	400			78.0	71.0	29.65
			800			77.5	73.0	29.64
			1000					29.64
			1200	"Mouth of Pei-ho River, Yellow Sea"		81.0	76.0	29.63
			1400			81.5	83.5	29.64
			1600			81.0	82.0	29.60
			1800					29.62
			2000			82.0	79.0	29.66
			2400			81.0	80.0	29.66
		7	800			81.0	79.5	29.67
			1000					29.95
			1200	"Mouth of Pei-ho River, Yellow Sea"		80.0	77.0	30.00
			1400					30.00
			1600			80.0	76.0	29.92
			1800					29.82
			2000			78.5	73.0	29.81
		8	400			78.0	71.0	29.65
			800			77.5	73.0	29.66
			1000					29.67
			1100					29.69
			1200	"Mouth of Pei-ho River, Yellow Sea"		81.0	76.0	29.68
			1400					29.66
			1600				81.5	29.65
			1800					29.69
			2000			80.0	79.0	29.70
			2400			79.0	77.0	29.71
		9	400			77.5	75.0	29.73
			800			79.0	76.5	29.74
			1000					29.78
			1200	"Mouth of Pei-ho River, Yellow Sea"		79.5	80.0	29.77
			1400					29.76
			1600			77.5	79.0	29.70
			1800					29.70
			2000					29.70
			2400			78.0	76.0	29.70
		10	800			77.0	75.0	29.69
			1000					29.70
			1100					29.70
			1200	"Mouth of Pei-ho River, Yellow Sea"		79.0	81.0	29.70
			1400					29.69
			1600			78.5	79.0	29.67
			1800					29.65
			2000			78.0	76.0	29.64
			2200					29.72
			2400					29.74
		11	400			78.0	75.0	29.70
			800			79.0	76.0	29.70
			1000					29.75
			1200	"Mouth of Pei-ho River, Yellow Sea"		80.0	79.0	29.74
			1400					29.74
			1600			78.0	79.0	29.72
			1800					29.72
			2000					29.72
			2200			79.0	75.0	
			2400			77.0	75.0	29.75
		12	400			78.0	75.0	
			800			78.0	79.0	29.78
			1000					29.79
			1200	Gulf of Pe-che-lee		79.0	79.0	29.79
			1400					29.79
			1600			82.0	81.0	29.78
			1800					29.78
			2000			81.0	79.5	29.78
			2400			80.0	79.5	29.80
		13	800			79.0	89.0	29.79
			1000					29.80
			1200	Gulf of Pe-che-lee		81.0	83.0	29.80
			1400					29.74
			1600			80.0	80.5	29.77
			1800					29.80
			2000			78.0	79.0	29.79
		14	400			78.0	77.0	29.70
			600			78.0	79.0	29.71
			800			78.0	79.0	29.72
			1000					29.72
			1200	Gulf of Pe-che-lee		78.0	79.5	29.74
			1400					29.71
			1600			80.0	80.0	29.74
			1800					29.70
			2000			80.0	78.0	29.72
			2400			79.0	76.0	29.75
		15	800			80.0	78.0	29.77
			1100					29.79
			1200	Gulf of Pe-che-lee		81.0	78.5	29.78
			1400					29.76
			1600			82.0	80.0	29.74
			1800					29.74
			2000				78.0	29.76
			2400			80.0	77.0	29.86
		16	800			81.0	79.0	29.79
			1100					29.80
			1200	Gulf of Pe-che-lee		81.5	79.5	29.80
			1400					29.74
			1600			81.0	80.0	29.74
			1800					29.74
			2000			80.0	79.5	29.74
		17	400			80.0	78.5	29.74
			700					29.74
			900			84.0	79.5	29.74
			1100					29.74
			1200	Gulf of Pe-che-lee		81.0	81.0	29.75
			1400					29.74
			1600			81.0	82.0	29.74
			1800					29.70
			2000			80.0	79.0	29.70
			2400			80.0	79.0	29.71
		18	400			80.0	79.5	29.72
			800			80.0	79.0	29.80
			1000					29.81
			1200	Gulf of Pe-che-lee		79.5	79.0	29.80
			1400					29.82
			1600			79.0	78.5	29.88
			1800					29.82
			2000			78.0	78.0	29.90
			2200					29.98
			2400			78.0	78.0	29.98
		19	800			77.5	73.5	29.98
			1000					29.94
			1100					29.92
			1200	Gulf of Pe-che-lee		77.5	74.0	29.92
			1400					29.92
			1600			77.5	75.0	29.92
			1800					29.94
			2000			76.0	74.5	29.99
		20	400			78.0	76.0	29.95
			800			77.5	76.0	30.00
			1000					30.02
			1200	Gulf of Pe-che-lee			75.0	30.03
			1400					30.00
			1600			78.0	74.0	29.90
			1800					29.90
			2000			77.5	74.0	29.90
		21	800			77.0	74.0	29.80
			1100					29.80
			1200	Gulf of Pe-che-lee		77.0	79.0	29.80
			1400					29.78
			1600			77.0	76.0	29.76
			1800					29.76
			2000			77.0	75.0	29.74
			2400			73.0	74.5	29.82
		22	400					29.80
			800			78.0	77.0	29.80
			1000					29.80
			1200	"Cheatow, Yellow Sea"		78.0	80.0	29.74
			1400					29.74
			1600			78.0	78.0	29.74
			1800					29.72
			2000			78.0	77.0	29.72
		23	400			78.0	78.0	29.70
			800			78.0	80.0	29.70
			1200	"Cheatow, Yellow Sea"		78.5	81.0	29.72
			1600			78.0	80.0	29.70
			1800					29.68
			2000			78.0	79.0	29.66
			2400			78.0	77.0	29.66
		24	400			78.0	77.0	29.70
			800			78.0	78.5	29.68
			1000					29.70
			1100					29.68
			1200	"Cheatow, Yellow Sea"		78.0	79.0	29.68
			1300					29.68
			1400					29.66
			1500					29.66
			1600			78.0	79.0	29.66
			1700					29.64
			1800					29.64
			2000			78.0	78.0	29.62
			2400			77.0	78.0	29.62
		25	400					29.74
			800			78.0	78.0	29.64
			1200	"Cheatow, Yellow Sea"		78.0	79.0	29.66
			2000			77.5	78.0	
		26	400			77.5	77.0	29.56
			800			77.5	78.0	29.56
			1100					29.56
			1200	"Cheatow, Yellow Sea"		78.0	79.5	29.56
			1400					29.64
			1600			78.0	79.5	29.52
			1800					29.52
			2000			78.0	79.0	29.54
			2400			78.0	78.5	29.56
		27	400			77.0	77.0	29.58
			800					29.62
			1100					29.64
			1200	"Oie-hai-oie Harbour, Yellow Sea"		78.0	78.0	29.64
			1400					29.62
			1600			77.0	76.0	29.62
			1800					29.62
			2000			77.0	76.0	29.64
			2400			77.0	75.0	29.64
		28	800			77.0	75.0	29.70
			1000					29.72
			1200	"Oie-hai-oie Harbour, Yellow Sea"		76.5	77.5	29.72
			1600			76.0	77.5	29.70
			2000			76.0	77.0	29.70
			2400			76.0	79.0	29.74
		29	400			76.0	77.0	29.78
			800			76.5	78.0	29.78
			1000					29.80
			1200	"Oie-hai-oie Harbour, Yellow Sea"		77.0	81.0	29.80
			1400					29.92
			1600			78.0	81.0	29.90
			1800					29.92
			2000			77.0	78.0	29.92
			2400			77.0	79.0	29.94
		30	400			77.0	78.0	29.96
			800			77.0	78.0	29.98
			1000					29.98
			1200	37 58	122 58	78.0	80.0	29.96
			1400					29.94
			1600			81.0	80.0	29.92
			1800					29.90
			2000			79.0	79.0	29.90
		31	500			79.0	79.0	29.90
			800			79.0	80.0	29.92
			1000					29.94
			1200	37 55	123 37	79.0	80.0	29.96
			1400					29.94
			1600			79.5	80.0	29.94
			1800					29.92
			2000			79.5	79.0	29.92
	9	1	500			78.0	76.0	29.90
			800			76.0	76.0	29.90
			1000					29.92
			1200	37 45	124 20	76.0	76.0	29.90
			1400					29.98
			1800					29.98
			2000			75.0	75.0	29.98
		2	600			79.0	78.0	29.82
			800			79.0	80.0	29.82
			1000					29.82
			1200	36 44.3	124 47.52	80.0	81.0	29.82
			1400					29.96
			1600			80.0	80.0	29.98
			1800					29.98
			2000			80.0	80.0	30.04
		3	300					30.02
			800			79.0	77.0	30.04
			1000					30.04
			1200	36 18.21	126 10	78.0	79.0	30.00
			1400					29.98
			1600			78.0	81.0	29.95		
			1800					29.94		
			2000			77.0	80.0	29.92		
		4	600			78.0	78.0	29.95		
			800			78.0	79.0	29.95		
			1000					29.95		
			1200	36 13	126 30	82.0	80.0	29.92		
			1400					29.85		
			1600			82.0	81.0	29.84		
			1800					29.84		
			2000			80.0	79.0	29.84		
		5	445	36 13	126 24.3					
			600			79.5	78.5	29.82		
			800			79.0	80.5	29.82		
			1000					29.82		
			1200	36 05	126 27	80.5	80.0	29.82		
			1400					29.82
			1600			79.0	80.0	29.80
			1800					29.80
			2000			79.0	80.0	29.80
			2300	35 26	126 23.22			
		6	600			78.0	78.5	29.86
			800			78.0	79.0	29.86
			1000					29.88
			1200	35 17	126 28.3	78.0	79.5	29.88
			1400					29.89
			1600	35 6	126 6.37	77.5	79.0	29.90
			1800					29.90
			2000			74.0	77.5	29.88
		7	600					29.82
			800			75.0	76.0	29.82
			930	34 42	125 52.45			
			1000					29.82		
			1200	34 32	125 35	76.0	80.0	29.82		
			1400					29.80		
			1600			72.0	80.0	29.82		
			2000			82.0	78.0	29.82		
		8	800			70.0	74.0	29.79		
			1000					29.82		
			1200	34 22.39	126 2.52	71.0	78.0	29.81		
			1400					29.80		
			1600			70.0	76.0	29.80		
			1800					29.80		
			2000			70.0	74.0	29.79		
		9	600			70.0	74.0	29.78		
			800			70.0	76.0	29.78		
			1100					29.80		
			1200	34 20	126 6	72.0	75.0	29.80		
			1600			71.0	74.0	29.80
			2000			70.0	74.0	29.78
			2400			69.0	78.0	29.78
		10	400			68.0	72.0	29.76
			800			68.0	73.0	29.76
			1000					29.77
			1100			68.0	73.0	29.76
			1200	34 19	126 5			
			1400			68.0	72.0	29.74
			1600			80.0	76.0	29.78
			1700					29.90
			1800					29.90
			2000			80.0	76.0	29.74
			2400			80.0	76.0	29.76
		11	800			80.5	80.0	29.73
			1000					29.72
			1200	31 41	126 44	83.0	81.0	29.71
			1400					29.71
			1600			82.0	82.0	29.71
			1800					29.71
			2000			82.0	79.5	29.73
			2400					29.80
		12	600			82.0	80.0	29.74
			800					29.75
			1000			82.0	81.5	29.75
			1200	29 38	129 56	83.0	82.5	29.75
			1400					29.70
			1600			83.0	83.0	29.70
			1800					29.72
			2000			83.0	83.0	29.78
			2400			82.0	82.5	29.78
		13	600					29.72
			800			84.0	83.0	29.70
			1000					29.70
			1100					29.76
			1200	27 48	128 20	84.0	84.0	29.78
			1300					29.60
			1400					29.74
			1500					29.75
			1600					29.80
			1700					29.90
			1800					29.95
			1900					29.94
			2400					29.52
		14	600					29.52
			800			82.5	83.0	29.52
			900					29.54
			1000					29.54
			1100					29.56
			1200	27 44	127 35	82.0	83.0	29.60
			1300					29.58
			1400					29.60
			1500					29.64
			1600			82.0	83.0	29.52
			1700					29.54
			1800					29.66
			2000			82.0	82.0	29.70
			2400				81.0	29.74
		15	600					29.80
			800			83.0	80.0	29.78
			1000					29.76
			1100					29.71
			1200	26 44	127 32	84.0	83.0	29.75
			1400					29.75
			1600			83.5	83.0	29.75
			1800					29.75
			2000				81.5	29.80
			2200					29.81
			2400			84.0	81.0	29.80
		16	600					29.84
			800			83.0	81.0	29.84
			1000					29.90
