,,,Beobachtungen der Temperatur der Luft und des Wassers auf der,,,,,,,,
,,,"Oberflache des Stillen Meeres, angestellt auf einer Reise von Valparaiso",,,,,,,,
,,,nach Arica von Herrn Dirckinck v. Holmfeldt.,,,,,,,,
,,,,,,,,,,,
YEAR,MONTH,DAY,HOUR,LAT,,LONG,,AIR,SEA,,
,,,,,,,,TEMP,TEMP,,
1824,12,16,330,32.00,N,73.00,W,14.30,10.70,,
1824,12,16,530,,,,,13.50,12.80,,
1824,12,16,1715,,,,,13.50,13.00,,
1824,12,16,2000,,,,,14.50,12.80,,
1824,12,17,0,31.00,N,74.00,W,16.80,14.00,,
1824,12,17,600,,,,,14.80,13.50,,
1824,12,17,2000,,,,,16.20,13.70,,
1824,12,18,0,30.00,N,75.00,W,17.80,15.80,,
1824,12,18,600,,,,,14.60,14.20,,
1824,12,18,1200,,,,,14.10,13.30,,
1824,12,18,2130,,,,,15.80,14.50,,
1824,12,19,0,29.00,N,76.00,W,17.00,14.60,,
1824,12,19,600,,,,,15.20,14.70,,
1824,12,19,1200,,,,,13.70,13.80,,
1824,12,19,1600,,,,,14.10,13.40,,
1824,12,19,2100,,,,,16.20,14.30,,
1824,12,20,0,28.00,N,76.00,W,18.50,14.20,,
1824,12,20,600,,,,,17.30,15.30,,
1824,12,20,1200,,,,,14.00,14.20,,
1824,12,20,2000,,,,,16.00,15.40,,
1824,12,21,200,27.00,N,76.00,W,16.00,15.20,,
1824,12,21,730,,,,,15.30,14.60,,
1824,12,21,2030,,,,,17.10,15.20,,
1824,12,22,0,25.00,N,75.00,W,16.00,16.10,,
1824,12,22,600,,,,,17.10,16.30,,
1824,12,22,1200,,,,,16.00,16.10,,
1824,12,22,2030,,,,,17.80,16.10,,
1824,12,23,0,23.00,N,75.00,W,17.20,16.70,,
1824,12,23,600,,,,,16.70,16.30,,
1824,12,23,1200,,,,,16.90,17.00,,
1824,12,23,1600,,,,,16.10,17.00,,
1824,12,24,0,22.00,N,74.00,W,18.50,18.10,,
1824,12,24,615,,,,,18.00,17.90,,
1824,12,24,1745,,,,,17.30,17.80,,
1824,12,25,0,20.00,N,74.00,W,18.80,19.40,,
1824,12,25,700,,,,,18.00,19.00,,
1824,12,25,2030,,,,,22.50,19.50,,
1824,12,26,1200,,,,,,,,
1824,12,27,0,18.00,N,73.00,W,19.40,19.40,Ueberfahrt von Arica nach Quilca,
1824,12,27,245,,,,,19.20,18.50,,
1824,12,27,1330,,,,,16.10,16.30,,
1824,12,27,1700,,,,,18.30,15.80,,
1824,12,27,1730,,,,,15.30,16.00,,
1824,12,27,2130,,,,,17.80,17.50,,
1824,12,29,1200,18.00,N,72.00,W,16.50,18.10,,
1824,12,29,2000,,,,,19.80,17.00,,
1824,12,30,0,17.00,N,73.00,W,19.20,19.50,,
1824,12,30,700,,,,,19.80,19.50,,
1824,12,30,1200,,,,,19.00,18.50,,
1824,12,30,2100,,,,,20.80,19.50,,
1824,12,31,0,17.00,N,74.00,W,23.10,19.70,,
1824,12,31,245,,,,,18.50,17.50,,
1824,12,31,1200,,,,,18.50,18.10,,
1824,12,31,1600,,,,,18.10,18.10,,
1824,12,31,2100,,,,,21.80,19.00,,
1825,1,1,1200,,,,,,,,
1825,1,2,130,16.00,N,,,19.80,19.10,,
1825,1,2,1200,,,,,19.70,16.40,,
1825,1,2,1900,,,,,17.70,15.70,,
1825,1,2,2000,,,,,18.90,16.90,,
1825,1,3,0,,,,,19.90,16.50,Ueberfahrt von Quilca nach Callao,
1825,1,4,0,,,,,17.50,16.20,,
1825,1,5,0,,,,,19.30,18.00,,
1825,1,6,0,,,,,17.30,17.00,,
1825,1,7,0,,,,,17.90,17.80,,
1825,1,8,0,,,,,17.80,18.20,,
1825,1,9,0,16.00,N,74.00,W,17.40,17.20,,
1825,1,10,0,,,,,19.10,17.30,,
1825,1,11,0,,,,,18.10,17.80,,
1825,1,12,0,,,,,15.70,15.20,,
1825,1,13,0,,,,,,,,
1825,1,14,0,,,,,18.50,16.00,,
1825,1,15,0,,,,,17.80,16.60,,
1825,1,16,0,,,,,18.10,18.10,,
