	"VOYAGE AU POLE SUD ET DANS L'OCEANIE SUR LES CORVETTES L'ASTROLABE ET LA ZELEE, CAPT. M J DUMONT D'URVILLE"								

Pg. 2									

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	SIMPIESOMETER	AIR	SEA
								TEMP	TEMP
1837	9	8	400						
			800			764.8		25.8	26.0
			1200			765.0		25.0	26.1
			1600			765.4		26.0	26.0
			2000			766.8		23.9	26.0
			2400			764.8		24.0	26.0
		6	400			765.8		22.0	26.0
			800			767.8		23.3	26.0
			1200			767.3		24.8	26.1
			1600			766.8		25.2	26.0
			2000			767.8		23.3	26.0
			2400					21.8	26.0
		7	400			766.8		21.6	25.8
			800			766.8		24.0	25.7
			1200			767.3	761.0	27.4	26.1
			1600				761.5		
			2000			767.8	761.5	23.8	25.4
			2400						
		8	400			766.8		22.5	23.0
			800	26 49	19 19	767.8		23.4	24.7
			1200			764.8		25.9	26.2
			1600			764.6		25.4	25.8
			2000	26 48	19 16	764.8		23.8	25.5
			2400			765.6		23.7	25.0
		9	400			767.8		23.1	25.0
			800	25 16	21 16	765.8		23.3	
			1200			764.8		25.2	24.6
			1600			763.3		24.5	
			2000	25 16	21 18	764.8		23.6	
			2400			764.8		23.3	
		10	400			764.9		23.4	
			800	23 37	23 06	764.6		24.1	
			1200			764.1		26.7	24.8
			1600			763.1		24.6	
			2000	23 37	23 06	763.0		24.0	
			2400			763.8		24.0	
		11	400			765.1		24.4	
			800	21 53	24 32	764.3		26.0	
			1200			763.8		28.6	25.0
			1600			762.8		27.3	
			2000	21 52	24 32	762.8		25.0	
			2400			763.7		24.6	
		12	400			762.0		24.3	
			800	20 05	25 49	762.8		25.3	
			1200			762.8		29.3	26.5
			1600			762.8		28.3	
			2000	20 45	25 54	761.8		25.8	
			2400			763.5		25.2	
		13	400			763.8		24.9	
			800	18 29	27 10	762.3		25.7	
			1200			763.0		29.1	26.3
			1600			761.7		29.0	
			2000	18 29	27 10	762.7		26.4	26.3
			2400			762.7		26.0	25.6
		14	400			763.2		25.6	26.1
			800	16 36	28 10	761.7		26.4	26.6
			1200			762.2		27.9	27.0
			1600			760.1		27.4	27.1
			2000	16 37	28 08	763.7		26.8	26.8
			2400			764.2		26.8	26.8
		15	400			763.2		26.7	27.1
