"METEOROLOGICAL OBSERVATIONS MADE ON BOARD THE  ""AURORA"", BETWEEN CAPE TOWN AND HOBART 1911 TO 1914"																							
Month/Year	Day	Hour	Lat	Long	Air pressure in inches corrected and reduced	Air temperature in deg. F.																	
			S	E																			
			°    '	°    '																			
				FIRST	SUBANTARCTIC	VOYAGE																	
		12	43 27	144 43	30.38	51.5
		16			30.34	51.0
		20				
		24			30.32	51.0
	4	4			30.20	48.0
		8			30.17	48.0
		12			30.11	54.0
						
						
						
						
						
December	5	12	45 5	152 46	29.05	46.0
		16			29.08	48.0
		20			29.12	48.0
		24			29.16	49.0
	6	4			29.21	48.0
		8			29.31	51.0
		12	45 29	152 41	29.41	53.0
		16			29.36	53.2
		20			29.36	52.0
		24			29.36	51.0
	7	4			29.28	52.0
		8			29.22	54.5
		12	47 9	152 1	29.09	57.0
		16			29.03	52.0
		20			29.94	48.0
		24			28.87	50.0
	8	4			28.87	48.8
		8			28.87	51.5
		12	49 56	152 28	28.84	55.0
		16			28.85	50.0
		20			28.94	46.0
		24			29.06	43.0
	9	4			29.11	42.0
		8			29.20	41.5
		12	51 48	154 4	29.20	41.0
		16			29.23	41.0
		20			29.25	40.0
		24			29.25	40.0
	10	4			29.27	38.0
		8			29.27	39.5
		12	53 44	156 13	29.26	46.0
		16			29.26	45.0
		20			29.25	40.0
		24			29.22	41.0
	11	4			29.19	40.0
		8			29.15	41.0
		12			29.18	45.0
		16			29.15	42.8
		20			29.14	41.0
		24			29.15	40.0
	12	4			29.12	42.0
		8			29.12	43.0
		12	Anchored at	Macquarie Is.	29.15	44.0
		16			29.18	42.0
		20			29.22	42.0
		24			29.25	41.0
	13	4			29.22	38.5
		8			29.20	41.0
		12			29.18	40.0
		16			29.18	41.0
		20			29.18	41.0
		24			29.14	42.0
	14	4			29.13	42.0
		8			29.16	42.0
		12			29.18	44.2
		16			29.22	43.5
		20			29.26	42.0
		24			29.28	40.5
	15	4			29.30	40.0
		8			29.37	42.0
		12			29.38	43.0
		16			29.43	44.0
		20			29.49	41.5
		24			29.53	42.0
	16	4			29.56	41.0
		8			29.65	42.0
		12			29.69	46.0
		16			29.71	45.0
		20			29.79	41.0
		24			29.81	41.0
	17	4			29.80	40.5
		8			29.85	44.0
		12			29.80	50.0
		16			29.80	45.0
		20			29.79	41.0
		24			29.76	39.0
	18	4			29.72	40.0
		8			29.76	41.0
		12			29.75	45.0
		16			29.73	44.0
		20			29.75	42.0
		24			29.77	40.0
	19	4			29.78	40.0
		8			29.80	43.0
		12			29.83	41.0
		16			29.85	41.0
		20			29.90	42.0
		24			29.94	39.0
	20	4			29.97	39.0
		8			29.97	41.5
		12			29.96	42.5
		16			29.97	48.5
		20			29.95	44.0
		24			29.93	44.0
	21	4			29.92	45.0
		8			29.89	46.0
		12			29.87	46.0
		16			29.97	51.0
		20			29.90	45.0
		24			29.88	46.0
	22	4			29.86	46.5
		8			29.86	48.0
		12			29.83	
		16			29.82	48.5
		20			29.80	45.0
		24			29.76	45.0
	23	4			29.76	45.0
		8			29.73	47.0
		12			29.71	49.0
		16			29.69	47.0
		20			29.72	46.0
		24			29.73	46.0
	24	4			29.75	46.0
		8				
		12			29.76	47.2
		16			29.79	48.0
		20			29.82	47.0
		24			29.81	46.8
	25	4	Departed from	Macquarie Is.	29.78	47.0
		8			29.80	46.0
		12	54 14.50	158 38	29.81	47.0
		16			29.83	47.0
		20			29.83	45.0
		24			29.82	44.0
	26	4			29.83	44.5
		8			29.86	48.0
		12	57 15.50	157 25	29.84	46.0
		16			29.84	46.3
		20			29.88	44.0
		24			29.86	44.0
	27	4			29.85	44.8
		8			29.86	43.5
		12	59 38	157 21	29.85	43.0
		16			30.01	41.7
		20			29.83	42.0
		24			29.78	40.0
	28	4			29.74	40.0
		8			29.68	38.5
		12	61 58	157 11	29.66	39.5
		16			29.61	41.8
		20				
		24			29.61	36.5
	29	4			29.59	34.8
		8			29.60	36.5
		12	63 49	156 14	29.55	39.4
		16			29.55	37.0
		20			29.47	
		24			29.43	33.5
	30	4			29.41	32.9
		8			29.41	32.5
		12	65 14	156 5	29.40	32.0
		16			29.42	30.5
		20			29.45	29.0
		24			29.51	28.0
	31	4			29.49	27.8
		8			29.49	28.5
		12	65 40	155 39	29.52	28.2
		16			29.52	29.0
		20			29.54	29.0
		24			29.54	29.0
1912 January	1	4			29.55	28.0
		8			29.57	30.8
		12	65 18	151 50	29.57	30.0
		16			29.54	30.5
		20			29.52	29.0
		24			29.50	29.0
	2	4			29.52	29.0
		8			29.52	31.0
		12	65 30	147 59	29.53	33.8
		16			29.54	31.4
		20			29.54	30.0
		24			29.54	30.0
	3	4			29.50	29.2
		8			29.51	28.0
		12	65 46	143 21	29.44	31.0
		16			29.36	30.5
		20			29.23	28.5
		24			29.13	27.0
	4	4			29.03	27.0
		8			28.95	26.5
		12	65 55	143 30	28.85	28.0
		16			28.91	33.0
		20			28.97	33.0
		24			28.98	31.0
	5	4			28.97	29.0
		8			28.96	28.8
