,"METEOROLOGISCHE BEOBACHTUNGEN, ANGESTELLT IM MAI 1831 ZU LIMA",,,,,,,,,
,,,,,,,,,,
YEAR ,MONTH,DAY,HOUR,PSYCH.,,WARME IN,HYGROMETER,BAROMETER,IN ENGL. MAASS,TEMPERATUR
,,,,WARME,NASS-,DER SONNE,NACH,,,D. BAROMETERS
,,,,D. LUFT,KALTE,,SAUSS,Z,L,
1831,5,14,800,14.20,12.80,,77.00,29.000,5.760,
1831,5,14,830,14.00,12.80,,,29.000,5.760,
1831,5,14,900,13.80,12.60,,,29.000,5.800,
1831,5,14,1000,13.60,12.50,,,29.000,5.800,
1831,5,14,1030,,,,,29.000,5.800,
1831,5,14,1100,13.50,12.40,,,29.000,5.760,
1831,5,14,1130,15.00,12.00,,,29.000,5.730,
1831,5,15,1945,13.80,12.90,,,29.000,5.660,
1831,5,15,2005,14.00,13.00,,,,,
1831,5,15,2030,14.20,13.10,,,29.000,5.700,
1831,5,15,2200,16.20,14.40,,78.00,29.000,5.350,
1831,5,15,2230,16.10,14.00,,,29.000,5.400,
1831,5,15,2300,16.50,14.00,,,29.000,5.400,
1831,5,15,2330,16.80,14.30,,,29.000,5.300,
1831,5,15,2400,18.60,15.10,,,29.000,5.230,
1831,5,15,100,,,22.00,,29.000,5.200,
1831,5,15,200,18.00,15.20,,,29.000,5.160,
1831,5,15,230,17.10,15.40,22.30,,29.000,5.160,
1831,5,15,1045,13.90,12.60,,,29.000,5.400,
1831,5,15,1130,13.40,12.50,,,,,
1831,5,15,1200,13.20,12.50,,,,,
1831,5,16,2045,14.60,13.00,,,29.000,5.550,
1831,5,16,2130,14.80,13.20,,,29.000,5.630,
1831,5,16,2200,15.00,13.40,,,29.000,5.600,
1831,5,16,330,14.60,,,,29.000,5.300,
1831,5,16,400,14.50,13.10,,,29.000,5.330,
1831,5,16,600,14.40,13.00,,,29.000,5.430,
1831,5,16,700,13.50,12.70,,,29.000,5.400,
1831,5,16,800,13.20,12.60,,,29.000,5.500,
1831,5,16,930,13.10,12.60,,,29.000,5.600,
1831,5,16,1030,13.10,,,,29.000,5.630,
1831,5,16,1100,13.20,12.70,,,29.000,5.650,
1831,5,17,1200,,,,,,,
1831,5,18,2030,14.80,13.00,,,29.000,6.640,
1831,5,18,2130,15.60,13.60,,,29.000,6.430,
1831,5,18,2230,15.80,14.20,,,29.000,7.500,
1831,5,18,2300,16.00,14.70,,,29.000,7.400,
1831,5,18,2400,17.00,13.90,22.20,,29.000,7.300,
1831,5,18,300,16.60,13.20,,,29.000,6.100,
1831,5,18,830,13.00,12.00,,,29.000,6.160,
1831,5,18,930,12.40,11.80,,,29.000,6.200,
1831,5,18,1000,,,,,29.000,6.230,
1831,5,18,1030,12.60,11.50,,,29.000,6.300,
1831,5,18,1200,12.00,11.00,,,29.000,6.200,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
