YEAR,MONTH,DAY,HOUR,LAT,,LONG,,Barometer in,Air Temperature,,Nasskäl- te dos Psychro- ,Water Temperature,,Weather and Wind,,,
,,, ,,,,,Englischem Maass,Reaum.,Cels.,meters nach Hr. August.,Reaum.,Cels., ,,,
1830,12,31,8,,,,,29.06,5.80,7.20,4.80,5.10,6.37,WNW. desgl.,,,
1830,12,31,9,,,,,29.08,5.90,7.30,5.00, , ,WNW. Es klärt sich auf.,,,
1830,12,31,10,,,,,29.08,6.20,7.20,5.30, , ,WNW. desgl.,,,
1830,12,31,11,,,,,29.08,6.40,8.00,5.60, , ,WNW. desgl.,,,
1830,12,31,12,,,,,29.09,5.00,6.20,4.10,5.10,6.37,WNW. desgl.,,,
1830,12,31,13,,,,,29.06,5.15,6.30,4.30, , ,WNW. desgl.,,,
1830,12,31,14,,,,,29.07,5.90,7.30,5.00, , ,WNW. desgl.,,,
1830,12,31,15,,,,,29.08,5.80,7.20,5.30, , ,WNW. Regen.,,,
1830,12,31,16,,,,,29.08,5.60,7.00,5.60,5.10,6.37,WNW. desgl.,,,
1830,12,31,17,,,,,29.08,5.60,7.00,4.10, , ,WNW. desgl.,,,
1830,12,31,18,,,,,29.16,5.60,7.00,4.30, , ,WNW. desgl.,,,
1830,12,31,19,,,,,29.19,5.50,6.80,5.00, , ,WNW. Klarer Himmel.,,,
1830,12,31,20,,,,,29.22,5.50,6.80,4.60,5.40,6.75,WNW. desgl.,,,
1830,12,31,21,,,,,29.25,5.10,6.70,4.20, , ,WNW. desgl.,,,
1830,12,31,22,,,,,29.27,5.40,6.70,4.50, , ,WNW. desgl.,,,
1830,12,31,23,,,,,29.28,5.40,6.70,4.30, , ,WNW. desgl.,,,
1830,12,31,24,,,,,29.30,5.50,6.80,4.40,5.35,6.60,WNW. desgl.,,,
1831,1,1,1,54.46,S,79.00,W,29.31,5.40,6.70,4.60, , ,WNW. Bezogen.,,,
1831,1,1,2,,,,,29.34,5.50,6.80,4.80, , ,WNW. desgl.,,,
1831,1,1,3,,,,,29.31,5.00,6.20,4.80, , ,WNW. desgl.,,,
1831,1,1,4,,,,,29.34,5.90,6.10,4.50,5.30,6.60,WNW. Regen.,,,
1831,1,1,5,,,,,29.30,5.80,7.20,5.60, , ,NNW. desgl.,,,
1831,1,1,6,,,,,29.30,5.80,7.20,5.60,, ,NNW. Dicke Luft.,,,
1831,1,1,7,,,,,29.29,5.90,7.30,5.70, , ,NNW. desgl.,,,
1831,1,1,8,,,,,29.29,6.20,7.70,5.90,5.50,6.87,NNW. Etwas Regen.,,,
1831,1,1,9,,,,,29.27,6.00,7.50,5.80, , ,NNW. desgl.,,,
1831,1,1,10,,,,,29.28,6.00,7.50,5.80, , ,WNW. Trübe.,,,
1831,1,1,11,,,,,29.30,8.00,7.50,5.80, , ,WNW. desgl.,,,
1831,1,1,12,,,,,29.30,6.00,7.50,5.80,5.40,6.75,WNW. Etwas Regen.,,,
1831,1,1,13,,,,,29.37,6.10,7.60,5.90, , ,WNW. desgl.,,,
1831,1,1,14,,,,,29.40,6.00,7.50,5.80, , ,WNW. desgl.,,,
1831,1,1,15,,,,,29.40,6.10,7.60,5.80, , ,WNW. desgl.,,,
1831,1,1,16,,,,,29.44,6.10,7.60,5.90,5.40,6.75,W. Sturm.,,,
1831,1,1,17,,,,,29.40,6.20,7.75,5.90, , ,W. desgl.,,,
1831,1,1,18,,,,,29.49,6.20,7.75,5.80, , ,W. desgl.,,,
1831,1,1,19,,,,,29.49,6.20,7.75,5.60, , ,W. desgl.,,,
1831,1,1,20,,,,,29.50,6.10,7.62,5.60,5.40,6.75,W. desgl.,,,
1831,1,1,21,,,,,29.52,6.40,8.00,5.80, , ,W. desgl.,,,
1831,1,1,22,,,,,29.55,6.40,8.00,5.60, , ,W. Feiner Regen.,,,
1831,1,1,23,,,,,29.55,6.10,7.62,5.40, , ,W. desgl.,,,
1831,1,1,24,,,,,29.60,6.20,7.75,5.60,5.60,7.00,W. desgl.,,,
1831,1,2,1,54.31,S,79.40,W,29.60,6.10,7.62,5.80, , ,W. Feiner Regen.,,,
1831,1,2,2,,,,,29.60,6.10,7.62,5.60, , ,W. desgl.,,,
1831,1,2,3,,,,,29.64,6.10,7.62,5.60, , ,W. desgl.,,,
1831,1,2,4,,,,,29.66,6.10,7.62,5.60,5.60,7.00,W. Bezogen.,,,
1831,1,2,5,,,,,29.70,6.10,7.62,5.70, , ,W. desgl.,,,
1831,1,2,6,,,,,29.70,6.20,7.62,5.90, , ,W. desgl.,,,
1831,1,2,7,,,,,29.70,6.20,7.62,6.00, , ,W. Regen.,,,
1831,1,2,8,,,,,29.75,6.20,7.62,6.00,5.80,7.25,W. desgl.,,,
1831,1,2,9,,,,,29.72,6.20,7.62,6.10, , ,W. desgl.,,,
1831,1,2,10,,,,,29.72,6.50,8.12,6.10, , ,W. Bezogen.,,,
1831,1,2,11,,,,,29.74,6.50,8.12,6.10, , ,W. desgl.,,,
1831,1,2,12,,,,,29.70,6.60,8.25,6.10,5.60,7.00,W. desgl.,,,
1831,1,2,13,,,,,29.70,6.60,8.25,6.20,, ,W. desgl.,,,
1831,1,2,14,,,,,,6.50,8.12,6.10,,,W. Bezogen,,,
1831,1,2,15,,,,,29.64,6.60,8.25,6.20, ,,W. desgl.,,,
1831,1,2,16,,,,,29.64,6.50,8.12,6.20,5.40,6.75,S. Sturm.,,,
1831,1,2,17,,,,,29.64,6.50,8.12,6.10, , ,S. desgl.,,,
1831,1,2,18,,,,,29.60,6.30,7.87,6.00, , ,S. desgl.,,,
1831,1,2,19,,,,,29.54,6.40,8.00,6.10, , ,S. desgl.,,,
1831,1,2,20,,,,,29.50,6.40,8.00,6.00,, ,S. desgl.,,,
1831,1,2,21,,,,,29.50,6.40,8.00,6.00, , ,S. desgl.,,,
1831,1,2,22,,,,,29.44,6.50,8.12,6.10, , ,S. desgl.,,,
1831,1,2,23,,,,,29.43,6.40,8.00,6.10,5.40,6.75,S. desgl.,,,
1831,1,2,24,,,,,29.40,6.50,8.12,6.20, , ,S. desgl.,,,
1831,1,3,1,55.09,S,79.50,W,29.35,6.50,8.12,6.20, , ,S. Sturm.,,,
1831,1,3,2,,,,,29.35,6.50,8.12,6.20, , ,S. desgl.,,,
1831,1,3,3,,,,,29.34,6.50,8.12,6.20, , ,WSW. desgl.,,,
1831,1,3,4,,,,,29.34,6.50,8.12,6.20,5.70,7.12,WSW. desgl.,,,
1831,1,3,5,,,,,29.34,6.40,8.00,6.20, ,,WSW. Regen.,,,
1831,1,3,6,,,,,29.27,6.60,8.25,6.40, , ,WSW. desgl.,,,
1831,1,3,7,,,,,29.27,6.40,8.00,6.30, , ,WSW. desgl.,,,
1831,1,3,8,,,,,29.29,6.20,7.75,6.00,5.60,7.00,WSW. Bewölkt und,,,
1831,1,3,9,,,,,29.29,5.80,7.25,5.60, , ,WSW. stürmisch.,,,
1831,1,3,10,,,,,29.28,5.60,7.00,5.40,, ,WSW. desgl.,,,
1831,1,3,11,,,,,29.28,5.70,7.12,5.40, , ,WSW. desgl.,,,
1831,1,3,12,,,,,29.27,6.40,8.00,5.70,5.60,7.00,W. Sturm.,,,
1831,1,3,13,,,,,29.27,6.60,8.25,5.90, , ,W. desgl.,,,
1831,1,3,14,,,,,29.32,7.10,8.87,6.10,, ,W. desgl.,,,
1831,1,3,15,,,,,29.32,6.90,8.62,5.80, , ,W. desgl.,,,
1831,1,3,16,,,,,29.32,6.80,8.50,5.60,5.70,7.12,W. desgl.,,,
1831,1,3,17,,,,,29.32,6.50,8.12,5.30, , ,W. desgl.,,,
1831,1,3,18,,,,, , , , , , ,W. desgl.,,,
1831,1,3,19,,,,,29.31,6.20,7.75,5.10, , ,W. desgl.,,,
1831,1,3,20,,,,,29.29,5.90,7.30,5.00,5.20,6.50,W. desgl.,,,
1831,1,3,21,,,,,29.26,5.70,7.12,4.80,, ,W. Sternhell bei hef-,,,
1831,1,3,22,,,,,29.26,5.70,7.12,4.80, ,,W. tigern Sturm.,,,
1831,1,3,23,,,,,29.25,5.70,7.12,4.60, , ,W. desgl.,,,
1831,1,3,24,,,,,29.20,5.70,7.12,4.70,5.20,6.50,W. desgl.,,,
1831,1,4,1,56.19,S,79.46,W,29.20,5.40,7.50,4.50, ,,W. Sternhell bei hef,,,
1831,1,4,2,,,,,29.20,5.30,6.20,4.40,,,W. tigern Sturm.,,,
1831,1,4,3,,,,,29.19,5.20,6.50,4.30,,,W. Sternhell bei hef-,,,
1831,1,4,4,,,,,29.20,5.20,6.50,4.30,5.20,6.37,W. tigern Sturm.,,,
1831,1,4,5,,,,,29.20,5.20,6.50,4.20, , ,W. desgl.,,,
1831,1,4,6,,,,,29.20,5.40,6.70,4.20,, ,W. desgl.,,,
1831,1,4,7,,,,,29.20,5.40,6.70,4.20, , ,W. desgl.,,,
1831,1,4,8,,,,,29.20, , , ,, ,W. desgl.,,,
1831,1,4,9,,,,,29.23,6.00,7.50,4.80,, ,W. desgl.,,,
1831,1,4,10,,,,,29.20,6.20,7.70,4.80,, ,W. Klarer Himmel.,,,
1831,1,4,11,,,,,29.20,5.10,7.10,4.50,, ,W. desgl.,,,
1831,1,4,12,,,,,29.20,6.20,7.70,5.00,5.20,6.50,W. desgl.,,,
1831,1,4,13,,,,,29.21,5.70,8.00,5.10,, ,W. Regen.,,,
1831,1,4,14,,,,,29.26,6.20,8.20,5.10, , ,W. desgl.,,,
1831,1,4,15,,,,,29.26,6.60,8.20,5.10, , ,W. Klarer Himmel.,,,
1831,1,4,16,,,,,29.23,6.20,7.70,4.90,5.20,6.50,W. desgl.,,,
1831,1,4,17,,,,,29.25,6.10,7.60,4.90, , ,W. desgl.,,,
1831,1,4,18,,,,,29.26,6.00,7.50,5.70,, ,W. desgl.,,,
1831,1,4,19,,,,,29.25,5.90,6.80,4.30,, ,W. Trübes Wetter.,,,
1831,1,4,20,,,,,29.23,5.50,6.80,4.30,5.20,6.50,W. desgl.,,,
1831,1,4,21,,,,,29.20,5.30,6.60,4.60, , ,NW. desgl.,,,
1831,1,4,22,,,,,29.18,5.40,6.70,4.60, , ,NW. desgl.,,,
1831,1,4,23,,,,,29.16,5.40,6.70,4.50,,,NW. Sturm.,,,
1831,1,4,24,,,,,29.12,5.20,6.50,4.20,5.00,6.25,NW. desgl.,,,
1831,1,5,1,56.17,S,80.58,W,29.10,5.60,7.00,4.70,,,NW. Regen.,,,
1831,1,5,2,,,,,29.06,5.10,6.50,4.40, , ,NW. desgl.,,,
1831,1,5,3,,,,,29.04,5.60,7.00,5.00, , ,NW. desgl.,,,
1831,1,5,4,,,,,29.00,5.50,6.87,4.80,5.20,6.50,NW. desgl.,,,
1831,1,5,5,,,,,28.99,5.60,7.00,4.90, , ,NW. desgl.,,,
1831,1,5,6,,,,,28.94,5.70,7.10,5.10, , ,NNW. Regen u. Sturm.,,,
1831,1,5,7,,,,,28.94,5.70,7.10,5.10,,,NNW. desgl.,,,
1831,1,5,8,,,,,28.88,5.80,7.20,5.30,5.30,6.62,NNW. desgl.,,,
1831,1,5,9,,,,,28.87,5.80,7.20,5.20, , ,NNW. desgl.,,,
1831,1,5,10,,,,,28.79,5.90,7.30,5.20, , ,NNW. desgl.,,,
1831,1,5,11,,,,,28.72,5.80,7.20,5.00,,,NNW. desgl.,,,
1831,1,5,12,,,,,28.72,6.20,7.70,5.10,,,NNW. desgl.,,,
1831,1,5,13,,,,,28.72,6.60,8.20,5.10,5.20,6.50,NNW. desgl.,,,
1831,1,5,14,,,,,28.72,6.40,8.00,5.40,,,NNW. Klarer Himmel,,,
1831,1,5,15,,,,,28.71,6.40,8.00,5.40,,,NNW. mit Sturm.,,,
1831,1,5,16,,,,,28.65,6.00,7.50,5.20,,,NNW. desgl.,,,
1831,1,5,17,,,,,28.65,5.80,7.20,5.00,,,NNW. Klarer Himmel,,,
1831,1,5,18,,,,,28.65,5.40,6.70,4.70,,,NNW. mit Sturm.,,,
1831,1,5,19,,,,,28.64,5.40,6.70,4.70,,,NNW. desgl.,,,
1831,1,5,20,,,,,28.64,5.20,6.50,4.30,5.20,6.50,NNW. Regen.,,,
1831,1,5,21,,,,,28.70,5.00,6.20,4.30, , ,NNW. desgl.,,,
1831,1,5,22,,,,,28.70,5.10,6.30,4.30, , ,NNW. desgl.,,,
1831,1,5,23,,,,,28.66,5.40,6.70,4.60, , ,NNW. desgl.,,,
1831,1,5,24,,,,,28.61,5.20,6.50,4.50,5.20,6.50,NNW. Bewölkt.,,,
1831,1,6,1,56.13,S,82.08,W,28.55,5.40,6.40,4.60, , ,NNW. Stürmisch mit,,,
1831,1,6,2,,,,,28.53,5.20,6.50,4.60, , ,NW. Regen.,,,
1831,1,6,3,,,,,28.53,4.70,5.80,4.10,5.30,6.62,NW. desgl.,,,
1831,1,6,4,,,,,28.58,4.80,6.00,4.40, , ,NW. desgl.,,,
1831,1,6,5,,,,,28.64,4.30,5.30,3.60, , ,NW. desgl.,,,
1831,1,6,6,,,,,28.70,4.80,6.00,3.80, , ,NW. desgl.,,,
1831,1,6,7,,,,,28.70, ,,,5.20,6.50,NNW. Durchbrochener,,,
1831,1,6,8,,,,,28.74,5.30,6.60,4.20,5.20,6.50,\NW. Himmel.,,,
1831,1,6,9,,,,,28.79,5.30,6.60,4.30, , ,W. z. S. desgl.,,,
1831,1,6,10,,,,,28.79,5.50,6.80,4.50, , ,W. z. S. desgl.,,,
1831,1,6,11,,,,,28.84,5.40,6.70,4.50, , ,W. z. S. Heller klarer,,,
1831,1,6,12,,,,,28.87,5.50,6.80,4.60,5.40,6.75,W. z. S. Himmel.,,,
1831,1,6,13,,,,,28.91,5.40,6.70,4.60, , ,W. z. S. desgl.,,,
1831,1,6,14,,,,,28.97,5.80,7.20,4.50, , ,W. desgl.,,,
1831,1,6,15,,,,,28.89,5.80,7.20,4.60, , ,W. desgl.,,,
1831,1,6,16,,,,,29.05,5.50,6.80,4.40,5.40,6.75,W. desgl.,,,
1831,1,6,17,,,,,29.09,5.00,6.20,4.10, , ,W. desgl.,,,
1831,1,6,18,,,,,29.00,4.40,5.50,3.60, , ,W. desgl.,,,
1831,1,6,19,,,,,29.00,4.80,6.00,3.40, , ,W. desgl.,,,
1831,1,6,20,,,,,29.00,4.90,6.10,3.50,5.40,6.75,W. Regen mit Hagel.,,,
1831,1,6,21,,,,,29.00,4.30,5.30,3.30, , ,W. desgl.,,,
1831,1,6,22,,,,,29.00,4.30,5.30,3.20, , ,W. z. S. desgl.,,,
1831,1,6,23,,,,,29.00,4.40,5.50,3.40, , ,W. z. S. desgl.,,,
1831,1,6,24,,,,,29.00,4.60,5.70,3.40, , ,W. z. S. desgl.,,,
1831,1,7,1,54.11,S,82.19,W,29.00,4.80,6.00,3.50, , ,W. z. S. Bewölkt.,,,
1831,1,7,2,,,,,29.00,4.60,5.70,4.20, , ,W. z. S. desgl.,,,
1831,1,7,3,,,,,29.00,4.40,5.50,3.20, , ,W. z. S. desgl.,,,
1831,1,7,4,,,,,28.89,3.70,4.60,2.90,5.40,6.75,W. z. S. desgl.,,,
1831,1,7,5,,,,,28.99,4.40,5.50,3.40, , ,W. z. S. desgl.,,,
1831,1,7,6,,,,,28.99,4.40,5.50,3.30,,,W. z. S. Bewölkt.,,,
1831,1,7,7,,,,,28.99,4.60,5.70,3.20, , ,W. z. S. Massiger Wind.,,,
1831,1,7,8,,,,,29.00,4.40,5.50,3.40,5.60,7.00,W. z. S. desgl.,,,
1831,1,7,9,,,,,29.00,4.00,5.00,3.00, , ,W. z. S. desgl.,,,
1831,1,7,10,,,,,29.00,4.90,6.10,3.60, , ,W. z. S. Regen.,,,
1831,1,7,11,,,,,29.00,4.80,6.00,3.60, , ,W. z. S. desgl.,,,
1831,1,7,12,,,,,29.04,4.00,5.00,3.10,5.40,6.73,W. z. S. desgl.,,,
1831,1,7,13,,,,,29.05,5.00,6.20,3.60, , ,W. z. S. Kleine liegen,,,
1831,1,7,14,,,,,29.08,5.00,6.20,3.70, , ,W. z. S. schauer.,,,
1831,1,7,15,,,,,29.08,4.70,5.80,3.40, , ,W. z. S. desgl.,,,
1831,1,7,16,,,,,29.09,4.90,6.10,3.30,5.40,6.75,W. z. S. Schnee u. Hagel.,,,
1831,1,7,17,,,,,29.09,5.50,6.80,3.90, , ,W. z. S. desgl.,,,
1831,1,7,18,,,,,29.11,5.00,6.20,3.60, ,,W. z. S. desgl.,,,
1831,1,7,19,,,,,29.14,5.00,6.20,3.50, , ,W. z. S. Veränd. Wttr.,,,
1831,1,7,20,,,,,29.15,4.90,6.10,3.50,5.70,6.75,W. z. S. desgl.,,,
1831,1,7,21,,,,,29.14,5.20,6.50,3.60, , ,W. z. S. desgl.,,,
1831,1,7,22,,,,,29.14,4.90,6.10,3.60, , ,W. z. S. Ehr. bewölkt.,,,
1831,1,7,23,,,,,29.14,4.80,6.00,3.40, , ,W. z. S. Himmel.,,,
1831,1,7,24,,,,,29.14,4.90,6.10,3.30,5.80,7.25,W. z. S. desgl.,,,
1831,1,8,1,52.30,S,80.32,W,29.15,4.90,6.10,3.50,,,W. z. S. Sternhell.,,,
1831,1,8,2,,,,,29.15,4.80,6.00,3.20, , ,W. z. S. desgl.,,,
1831,1,8,3,,,,,29.15,4.90,6.10,3.20, , ,W. desgl.,,,
1831,1,8,4,,,,,29.15,4.80,6.00,3.20,6.00,7.50,W. desgl.,,,
1831,1,8,5,,,,,29.20,5.00,6.20,3.40,, ,W. desgl.,,,
1831,1,8,6,,,,,29.20,5.40,6.70,3.60, , ,M .MV. Klarer Himmel.,,,
1831,1,8,7,,,,,29.20,5.40,6.70,3.60, ,,WNW. desgl.,,,
1831,1,8,8,,,,,29.20,5.40,6.70,3.70,6.20,7.75,WNW. desgl. ,,,
1831,1,8,9,,,,,29.20,4.80,6.00,3.40,, ,WNW. desgl.,,,
1831,1,8,10,,,,, , , , , , ,WNW. desgl.,,,
1831,1,8,11,,,,,29.20,5.80,7.20,4.20,, ,WNW. desgl.,,,
1831,1,8,12,,,,,29.20,6.20,7.70,5.40,6.70,8.37,WNW. desgl.,,,
1831,1,8,13,,,,,29.20,6.00,7.50,4.20, ,,WNW.desgl.,,,
1831,1,8,14,,,,,29.20,6.20,7.70,4.20,,,WSW. desgl.,,,
1831,1,8,15,,,,,29.20,6.40,8.00,4.30, , ,WSW. desgl.,,,
1831,1,8,16,,,,,29.20,6.50,8.10,4.20,6.80,8.50,WSW. desgl.,,,
1831,1,8,17,,,,,29.20,6.20,7.70,4.30,   ,,WSW. desgl.,,,
1831,1,8,18,,,,,29.22,6.00,7.50,4.30, , ,WSW. desgl. ,,,
1831,1,8,19,,,,,, , , , , ,WSW. desgl.,,,
1831,1,8,20,,,,,29.26,5.80,7.20,3.80,6.80,8.50,WNW. Klarer Himmel.,,,
1831,1,8,21,,,,,29.29,5.80,7.20,4.00, , ,WNW. desgl.,,,
1831,1,8,22,,,,,29.29,6.00,7.50,4.10, , ,WNW. desgl.,,,
1831,1,8,23,,,,,29.28,5.80,7.20,4.00, , ,WSW. Bewölkt.,,,
1831,1,8,24,,,,,29.30,5.90,7.30,4.30,6.80,8.50,WSW. desgl.,,,
1831,1,9,1,50.19,S,80.40,W,29.30,6.10,7.60,4.40, , ,W.z.S. Bewölkt.,,,
1831,1,9,2,,,,,29.30,5.60,7.00,4.40, , ,W. z. S. desgl.,,,
1831,1,9,3,,,,,29.30,5.90,7.30,4.40, , ,W. z. S. desgl.,,,
1831,1,9,4,,,,,29.33,6.00,7.50,4.50,6.70,8.37,W. z. S. desgl.,,,
1831,1,9,5,,,,,29.33,6.20,7.70,4.50,, ,W. z. S. desgl.,,,
1831,1,9,6,,,,,29.34,6.40,8.00,4.60, , ,W. z. S. Alässig. Wind.,,,
1831,1,9,7,,,,,29.34,6.60,8.20, , , ,WNW. desgl.,,,
1831,1,9,8,,,,,29.34,6.40,8.00,5.00,6.60,8.25,WNW. desgl.,,,
1831,1,9,9,,,,,29.35,6.60,8.20,5.00, , ,WNW. desgl.,,,
1831,1,9,10,,,,,29.38,6.70,8.30,5.10, , ,WNW. desgl.,,,
1831,1,9,11,,,,,29.38,7.00,8.70, ,, ,WNW. desgl.,,,
1831,1,9,12,,,,,29.38,7.00,8.70,5.50,7.00,8.75,WNW. desgl.,,,
1831,1,9,13,,,,,29.38,7.00,8.70,5.60,, ,WNW. desgl.,,,
1831,1,9,14,,,,,29.38,7.10,8.80,5.60, , ,WNW. desgl.,,,
1831,1,9,15,,,,,29.36,7.20,9.00,5.60,7.40,9.25,NW. desgl.,,,
1831,1,9,16,,,,,29.34,7.10,8.80,6.00,7.40,9.25,NW. Gutes Wetter.,,,
1831,1,9,17,,,,,29.3,6.70,8.30,5.60, , ,NW. desgl.,,,
1831,1,9,18,,,,,29.3,7.20,9.00,6.20,,,NW. desgl.,,,
1831,1,9,19,,,,, , , , , , ,NW. desgl.,,,
1831,1,9,20,,,,, , , , ,7.30,9.12,NW. desgl.,,,
1831,1,9,21,,,,,29.29,6.80,8.50, ,, ,NW. Etwas Regen mit,,,
1831,1,9,22,,,,,29.27,6.10,7.60, , , ,NW. Sturm.,,,
1831,1,9,23,,,,,29.27,6.60,8.20,5.70,,,NW. Bewölkt.,,,
1831,1,9,24,,,,,29.27,6.60,8.20,5.70,7.20,9.00,NW. desgl.,,,
1831,1,10,1,49.40,S,80.10,W,29.26,6.60,8.20,5.40, , ,NW. Bewölkt.,,,
1831,1,10,2,,,,,29.24,6.20,7.70,5.30, , ,NW. desgl.,,,
1831,1,10,3,,,,,29.22,6.60,8.20,5.60, , ,NW. desgl.,,,
1831,1,10,4,,,,,29.22,6.20,7.70,5.40,7.10,8.87,NW. desgl.,,,
1831,1,10,5,,,,,29.20,6.30,7.80,5.20,,,SW. desgl.,,,
1831,1,10,6,,,,,29.26,6.30,7.80,5.30,, ,SW. desgl.,,,
1831,1,10,7,,,,,29.30,6.10,7.60,5.00,, ,SW. desgl.,,,
1831,1,10,8,,,,,29.37,6.40,8.00,5.00,7.00,8.75,SW. desgl.,,,
1831,1,10,9,,,,,29.44,5.60,7.00,4.80,,,SW. Bewölkt.,,,
1831,1,10,10,,,,,29.47,6.80,8.50,5.20, , ,SW. desgl.,,,
1831,1,10,11,,,,,29.50,6.90,8.60,5.20, , ,SW. Heller Sonnen-,,,
1831,1,10,12,,,,,29.58,6.40,8.00,4.80, , ,SW. schein.,,,
1831,1,10,13,,,,,29.64,6.80,8.50,4.70, , ,SW. desgl.,,,
1831,1,10,14,,,,,29.64,6.70,8.30,4.90, , ,SW. desgl.,,,
1831,1,10,15,,,,,29.71,7.30,9.10, ,7.90,9.87,SW. Etwas Regen.,,,
1831,1,10,16,,,,,29.73,7.20,9.00,5.20, , ,SW. desgl.,,,
1831,1,10,17,,,,,29.78,7.10,8.80,5.30, , ,SW. Bewölkt.,,,
1831,1,10,18,,,,,29.78,7.00,8.70,5.70, , ,SW. Stürmisch.,,,
1831,1,10,19,,,,,29.77,6.90,8.60,5.20,7.40,9.25,SW. desgl.,,,
1831,1,10,20,,,,,29.78,6.60,8.20,5.70, , ,SW. desgl.,,,
1831,1,10,21,,,,,29.80,7.30,9.10,5.40, , ,SW. desgl.,,,
1831,1,10,22,,,,,29.80,6.60,8.20,5.60, , ,SW. desgl.,,,
1831,1,10,23,,,,,29.80,6.80,8.50,5.60,7.60,9.50,SW. desgl.,,,
1831,1,10,24,,,,,29.82,7.10,8.80,5.80, , ,SW. desgl.,,,
1831,1,11,1,,,,,29.81,7.10,9.00,6.00,,,SW. Bogen.,,,
1831,1,11,2,,,,,29.81,7.30,9.10,6.20,,,SW. Bewölkt.,,,
1831,1,11,3,,,,,29.82,7.50,9.30,6.40, , ,SW. desgl.,,,
1831,1,11,4,,,,,29.82,7.60,9.50,6.60,8.10,10.10,SW. desgl.,,,
1831,1,11,5,,,,,29.85,7.70,9.60,6.90, , ,SW. desgl.,,,
1831,1,11,6,,,,,29.88,7.90,9.80,6.90, , ,W. z. S. desgl.,,,
1831,1,11,7,,,,,29.93,8.00,10.00,7.10, , ,W. z. S. desgl.,,,
1831,1,11,8,,,,,29.94,8.20,10.20,7.10,8.60,10.75,W. z. S. desgl.,,,
1831,1,11,9,,,,,29.93,8.10,10.50,7.30, , ,W. z. S. desgl.,,,
1831,1,11,10,,,,,29.96,8.60,10.70,7.00, , ,W. z. S. desgl.,,,
1831,1,11,11,,,,,29.96,8.60,10.70,7.00, , ,W. z. S. desgl.,,,
1831,1,11,12,,,,,29.96,8.60,10.70,7.00, , ,W. z. S. desgl.,,,
1831,1,11,13,,,,,30.04,9.40,11.70,7.60, , ,W.z.S.Durchbroch.II.,,,
1831,1,11,14,,,,,30.01,9.80,12.20,7.80, , ,W. z. S. desgl.,,,
1831,1,11,15,,,,,30.04,9.40,11.70,7.70, , ,W. z. S. desgl.,,,
1831,1,11,16,,,,,30.07,9.10,11.70,7.70,9.30,11.62,W. z. S. desgl.,,,
1831,1,11,17,,,,,30.07,9.20,11.50,8.00, , ,W. z. S. Sehr trübe.,,,
1831,1,11,18,,,,, , , , , , ,SW.X.W. desgl.,,,
1831,1,11,19,,,,,30.10,9.10,11.30,7.70, , ,S W. z. W. desgl.,,,
1831,1,11,20,,,,,30.10,8.80,11.00,7.60,9.20,11.50,S W. z. W. desgl.,,,
1831,1,11,21,,,,,30.14,8.80,11.00,7.50,,,SW. z. W. Dick bewölkt.,,,
1831,1,11,22,,,,,30.14,8.80,11.00,7.10,,,SW. z. W. desgl.,,,
1831,1,11,23,,,,,30.14,8.80,11.00,7.30,,,SW. z. W. Dickbewölkt.,,,
1831,1,11,24,,,,,30.14,8.80,11.00,7.30,9.20,11.50,S W.z.W. desgl.,,,
1831,1,12,1,,,,,30.16,9.00,11.20,7.40,,,SW.z.W. Dickbewlkt.,,,
1831,1,12,2,,,,,30.16,8.90,11.10,7.40,,,WSW. Seh wacher Wd.,,,
1831,1,12,3,,,,,30.16,8.90,11.10,7.00,,,WSW. desgl.,,,
1831,1,12,4,,,,,30.16,8.90,11.10,6.70,9.40,11.75,W. desgl.,,,
1831,1,12,5,,,,,30.16,8.90,11.10, ,, ,W. desgl.,,,
1831,1,12,6,,,,,30.18,8.80,11.00,6.70,,,W. desgl.,,,
1831,1,12,7,,,,,30.18,8.70,10.80,6.70,,,W. desgl.,,,
1831,1,12,8,,,,,30.18,8.90,11.10,7.00,9.30,11.62,W. Bewölkt.,,,
1831,1,12,9,,,,,30.18,9.20,11.50,7.00,,,W. Windstille.,,,
1831,1,12,10,,,,,30.19,9.70,12.10,7.40,,,W. desgl.,,,
1831,1,12,11,,,,,30.20,10.20,12.70,7.80,,,W. desgl.,,,
1831,1,12,12,,,,,30.20,10.30,12.80,7.70,9.80,12.25,W. desgl.,,,
1831,1,12,13,,,,,30.20, , , ,,,W. desgl.,,,
1831,1,12,14,,,,,30.17,10.60,13.20,8.40,,,W. desgl.,,,
1831,1,12,15,,,,,30.17,10.60,13.20,8.20,,,W. desgl.,,,
1831,1,12,16,,,,,30.16,10.40,13.00,8.20,10.10,12.62,W. desgl.,,,
1831,1,12,17,,,,,30.16,10.40,13.00,8.40,,,W. desgl.,,,
1831,1,12,18,,,,,30.16,10.00,12.50,8.00,,,W. desffl.,,,
1831,1,12,19,,,,,30.16,9.80,12.20,7.80,,,W. desgl.,,,
1831,1,12,20,,,,,30.16,9.60,12.00,7.80,10.10,12.62,W. desgl.,,,
1831,1,12,21,,,,,30.16,9.50,11.80,7.40,,,W. Sehr trüb. Himmel.,,,
1831,1,12,22,,,,,30.15,9.20,11.50,7.00,,,W. desgl.,,,
1831,1,12,23,,,,,30.15,9.30,11.60,7.10,,,W. desgl.,,,
1831,1,12,24,,,,,30.15,9.40,11.70,7.20,10.00,12.50,W. desgl.,,,
